SITE_ID,VISIT_NO,INDEX_SITE_DEPTH
NLA12_ID-194,1,4.27
NLA12_ID-198,1,2.1
NLA12_ID-203,1,1.7
NLA12_ID-205,1,10
NLA12_ID-207,1,3.8
NLA12_ID-209,1,4.6
NLA12_ID-210,1,14
NLA12_ID-214,1,5.9
NLA12_ID-215,1,50
NLA12_ID-216,1,1.15
NLA12_ID-218,1,21.3
NLA12_ID-220,1,5.85
NLA12_ID-221,1,1
NLA12_IL-103,1,7.7
NLA12_IL-103,2,7.5
NLA12_IL-104,1,9.3
NLA12_IL-105,1,16.5
NLA12_IL-106,1,8.7
NLA12_IL-109,1,10
NLA12_IL-109,2,9.8
NLA12_IL-110,1,4.5
NLA12_IL-111,1,10
NLA12_IL-112,1,2.8
NLA12_IL-114,1,15
NLA12_IL-116,1,7.5
NLA12_IL-118,1,3.1
NLA12_IL-120,1,7
NLA12_IL-123,1,1.7
NLA12_IN-101,1,18
NLA12_IN-101,2,15
NLA12_IN-102,1,11.6
NLA12_IN-103,1,9.1
NLA12_IN-104,1,7
NLA12_IN-105,1,7.9
NLA12_IN-106,1,14.6
NLA12_IN-108,1,9
NLA12_IN-110,1,36
NLA12_IN-111,1,8.8
NLA12_IN-112,1,10.7
NLA12_IN-113,1,25.6
NLA12_IN-115,1,5.5
NLA12_IN-116,1,8
NLA12_IN-117,1,7.3
NLA12_IN-120,1,6.5
NLA12_IN-126,1,3.4
NLA12_IN-127,1,6.4
NLA12_IN-128,1,7.9
NLA12_IN-128,2,8.4
NLA12_IN-130,1,7.3
NLA12_IN-131,1,13
NLA12_IN-134,1,10.4
NLA12_IN-135,1,8.5
NLA12_IN-142,1,1.4
NLA12_IN-144,1,28
NLA12_IN-145,1,2.7
NLA12_IN-146,1,7.9
NLA12_IN-147,1,1
NLA12_IN-149,1,6.4
NLA12_IN-155,1,9.4
NLA12_IN-159,1,4.6
NLA12_IN-160,1,6.4
NLA12_IN-162,1,3.8
NLA12_IN-163,1,9.1
NLA12_IN-164,1,8.4
NLA12_IN-166,1,2
NLA12_IN-171,1,5.8
NLA12_IN-172,1,14.6
NLA12_IN-174,1,11.8
NLA12_IN-179,1,3.1
NLA12_IN-180,1,6.4
NLA12_IN-183,1,1.1
NLA12_IN-185,1,5.5
NLA12_IN-186,1,14.6
NLA12_IN-187,1,6.7
NLA12_IN-191,1,2.3
NLA12_IN-193,1,8.2
NLA12_IN-196,1,10
NLA12_IN-199,1,8.5
NLA12_IN-201,1,8.2
NLA12_IN-202,1,2.4
NLA12_KS-101,1,1.7
NLA12_KS-101,2,1.5
NLA12_KS-102,1,6
NLA12_KS-103,1,5.4
NLA12_KS-105,1,1.4
NLA12_KS-106,1,3
NLA12_KS-107,1,2.8
NLA12_KS-108,1,1.5
NLA12_KS-109,1,3.9
NLA12_KS-109,2,3.4
NLA12_KS-114,1,5.7
NLA12_KS-121,1,1.9
NLA12_KS-122,1,13
NLA12_KS-124,1,2.3
NLA12_KS-125,1,15
NLA12_KS-126,1,1.6
NLA12_KS-130,1,2.7
NLA12_KS-138,1,4.6
NLA12_KY-101,1,24.6
