SITE_ID,VISIT_NO,INDEX_SITE_DEPTH
NLA12_TN-108,2,4
NLA12_TN-113,1,6.5
NLA12_TN-114,1,1.6
NLA12_TN-114,2,1.5
NLA12_TN-119,1,10.8
NLA12_TN-122,1,2.6
NLA12_TX-101,1,1
NLA12_TX-101,2,1
NLA12_TX-103,1,6
NLA12_TX-104,1,0.8
NLA12_TX-105,1,7.4
NLA12_TX-107,1,3.4
NLA12_TX-109,1,2.5
NLA12_TX-110,1,10.5
NLA12_TX-111,1,4.8
NLA12_TX-112,1,2.5
NLA12_TX-113,1,5.1
NLA12_TX-114,1,4.5
NLA12_TX-116,1,3.5
NLA12_TX-117,1,3.5
NLA12_TX-117,2,3.2
NLA12_TX-118,1,1.1
NLA12_TX-121,1,10
NLA12_TX-124,1,10.5
NLA12_TX-128,1,10.4
NLA12_TX-129,1,3.3
NLA12_TX-135,1,1.5
NLA12_TX-136,1,1.3
NLA12_TX-137,1,12.5
NLA12_TX-141,1,9.2
NLA12_TX-144,1,4.8
NLA12_TX-148,1,2.5
NLA12_TX-152,1,1.7
NLA12_TX-157,1,5.8
NLA12_TX-158,1,1.2
NLA12_TX-159,1,3
NLA12_TX-160,1,10.4
NLA12_TX-161,1,1.3
NLA12_TX-165,1,11
NLA12_TX-169,1,4
NLA12_TX-170,1,2.2
NLA12_TX-176,1,2.3
NLA12_TX-182,1,4.4
NLA12_TX-187,1,2.2
NLA12_TX-190,1,2.9
NLA12_TX-195,1,2.5
NLA12_TX-196,1,2.9
NLA12_TX-199,1,1
NLA12_TX-201,1,1.6
NLA12_TX-202,1,2.8
NLA12_TX-205,1,1.5
NLA12_TX-218,1,5.9
NLA12_TX-232,1,19.3
NLA12_TX-234,1,4.6
NLA12_TX-235,1,3.1
NLA12_UT-101,1,3
NLA12_UT-101,2,2.1
NLA12_UT-102,1,33
NLA12_UT-103,1,34
NLA12_UT-104,1,6.7
NLA12_UT-105,1,15
NLA12_UT-108,1,3.7
NLA12_UT-109,1,3
NLA12_UT-110,1,3
NLA12_UT-110,2,3.4
NLA12_UT-112,1,1.7
NLA12_UT-118,1,6.3
NLA12_UT-122,1,17
NLA12_UT-125,1,6.3
NLA12_UT-126,1,3.8
NLA12_UT-128,1,1.5
NLA12_UT-137,1,2.4
NLA12_UT-141,1,2.7
NLA12_UT-147,1,1.7
NLA12_UT-148,1,1.1
NLA12_UT-159,1,3.3
NLA12_UT-160,1,6.4
NLA12_UT-165,1,1.3
NLA12_UT-167,1,1
NLA12_UT-169,1,4.2
NLA12_UT-173,1,14
NLA12_UT-186,1,3.7
NLA12_UT-196,1,4.1
NLA12_UT-203,1,11
NLA12_UT-210,1,8.4
NLA12_UT-218,1,20
NLA12_UT-222,1,2.2
NLA12_UT-229,1,5
NLA12_UT-260,1,4.3
NLA12_UT-264,1,8
NLA12_UT-290,1,1.8
NLA12_UT-294,1,13
NLA12_UT-324,1,16
NLA12_UT-325,1,33
NLA12_UT-343,1,4.9
NLA12_UT-359,1,1.2
NLA12_UT-374,1,16
NLA12_UT-392,1,11.3
NLA12_UT-397,1,1.5
NLA12_UT-400,1,11
NLA12_UT-409,1,1.1
NLA12_UT-412,1,5.7
NLA12_UT-424,1,1.4
NLA12_VA-101,1,1.7
NLA12_VA-101,2,2.3
NLA12_VA-102,1,5.2
NLA12_VA-103,1,7.5
NLA12_VA-104,1,5.4
NLA12_VA-105,1,3.2
NLA12_VA-106,1,2.3
NLA12_VA-108,1,3.5
NLA12_VA-109,1,1.3
NLA12_VA-109,2,1.8
NLA12_VA-110,1,12
NLA12_VA-111,1,3.8
NLA12_VA-112,1,1.9
NLA12_VA-114,1,3.9
NLA12_VA-116,1,4.5
NLA12_VA-118,1,1.6
NLA12_VA-119,1,2.5
NLA12_VA-121,1,4.5
NLA12_VA-123,1,1.4
NLA12_VA-125,1,35
NLA12_VA-126,1,4.1
NLA12_VA-127,1,2.2
NLA12_VA-130,1,4.1
NLA12_VT-101,1,NA
NLA12_VT-101,2,16.5
NLA12_VT-102,1,12.1
NLA12_VT-103,1,47
NLA12_VT-104,1,18
NLA12_VT-106,1,4.1
NLA12_VT-109,1,1.9
NLA12_VT-110,1,14.6
NLA12_VT-112,1,4.3
NLA12_VT-112,2,4.1
NLA12_VT-114,1,31
NLA12_VT-115,1,9.3
NLA12_WA-101,1,1.4
NLA12_WA-101,2,1.3
NLA12_WA-102,1,1.5
NLA12_WA-103,1,28.7
NLA12_WA-104,1,8.2
NLA12_WA-106,1,4.65
NLA12_WA-107,1,18.6
NLA12_WA-108,1,19.3
NLA12_WA-109,1,28.5
NLA12_WA-110,1,7
NLA12_WA-111,1,19.05
NLA12_WA-112,1,8.4
NLA12_WA-114,1,3.9
NLA12_WA-115,1,11.6
NLA12_WA-116,1,33
NLA12_WA-118,1,5.1
NLA12_WA-120,1,10.6
NLA12_WA-121,1,13.3
NLA12_WA-124,1,13.8
NLA12_WA-125,1,4.3
NLA12_WA-126,1,6.8
NLA12_WA-129,1,7.5
NLA12_WA-131,1,8.7
NLA12_WA-133,1,2.9
NLA12_WA-133,2,2.8
NLA12_WA-138,1,13.8
NLA12_WA-141,1,4.1
NLA12_WA-146,1,5.2
NLA12_WA-147,1,7.5
NLA12_WA-151,1,58.5
NLA12_WA-154,1,2.8
NLA12_WA-157,1,1.4
NLA12_WA-159,1,12.6
NLA12_WI-101,1,9.5
NLA12_WI-101,2,9.4
NLA12_WI-102,1,20.1
NLA12_WI-103,1,7
NLA12_WI-104,1,15.8
NLA12_WI-106,1,7.2
NLA12_WI-107,1,25.2
NLA12_WI-108,1,9.2
NLA12_WI-109,1,4.6
NLA12_WI-110,1,17
NLA12_WI-111,1,6
NLA12_WI-112,1,3
NLA12_WI-112,2,3.6
NLA12_WI-113,1,15.5
NLA12_WI-115,1,5
NLA12_WI-117,1,4.7
NLA12_WI-120,1,1
NLA12_WI-122,1,1.8
NLA12_WI-127,1,1.1
NLA12_WI-128,1,4
NLA12_WI-129,1,2.1
NLA12_WI-131,1,7.5
NLA12_WI-132,1,1
NLA12_WI-133,1,15.2
NLA12_WI-134,1,1.7
NLA12_WI-135,1,3
NLA12_WI-136,1,3.1
NLA12_WI-138,1,7.5
NLA12_WI-140,1,1
NLA12_WI-142,1,4.1
NLA12_WI-144,1,2.5
NLA12_WI-147,1,2.2
NLA12_WI-151,1,NA
NLA12_WI-152,1,16.3
NLA12_WI-153,1,2.4
NLA12_WI-154,1,8.1
NLA12_WI-155,1,1.8
NLA12_WI-157,1,5.7
NLA12_WI-161,1,3.9
NLA12_WI-163,1,3.5
NLA12_WI-166,1,1.8
NLA12_WI-168,1,8.6
NLA12_WI-170,1,6.3
NLA12_WI-171,1,14.8
NLA12_WI-172,1,1.4
NLA12_WI-173,1,4
NLA12_WI-174,1,7.7
NLA12_WI-176,1,14.2
NLA12_WI-179,1,9.1
NLA12_WI-181,1,11.3
NLA12_WI-183,1,13.7
NLA12_WI-188,1,2.8
NLA12_WV-101,1,6.1
NLA12_WV-101,2,6.5
NLA12_WV-102,1,9.9
NLA12_WV-105,1,1.7
NLA12_WV-106,1,16.5
NLA12_WV-111,1,8.1
NLA12_WV-112,1,2.5
NLA12_WV-112,2,2.1
NLA12_WV-113,1,3.6
NLA12_WV-115,1,5.1
NLA12_WY-101,1,3.4
NLA12_WY-101,2,1.15
NLA12_WY-102,1,53
NLA12_WY-103,1,33.2
NLA12_WY-104,1,34.3
NLA12_WY-105,1,14.9
NLA12_WY-107,1,2.9
NLA12_WY-115,1,8.4
NLA12_WY-116,1,13.5
NLA12_WY-117,1,24
NLA12_WY-120,1,29.6
NLA12_WY-124,1,29.5
NLA12_WY-124,2,NA
NLA12_WY-125,1,26.8
NLA12_WY-130,1,2.7
NLA12_WY-131,1,3.5
NLA12_WY-133,1,15.8
NLA12_WY-135,1,2.5
NLA12_WY-137,1,5.5
NLA12_WY-147,1,18.5
NLA12_WY-151,1,17.3
