SITE_ID,VISIT_NO,MICL_RESULT_ppb
NLA12_OK-104,1,0.05623
NLA12_NH-101,1,0.07689
NLA12_MI-R08,1,0.10674
NLA12_SD-172,1,0.12127
NLA12_SD-124,1,0.03876
NLA12_SD-140,1,0.05927
NLA12_MN-108,1,0
NLA12_CT-101,1,0.0858
NLA12_NH-R04,1,0.09229
NLA12_WV-101,1,0.07147
NLA12_ND-155,1,0.81565
NLA12_NY-0101,1,0.0297
NLA12_OK-109,1,0.1062
NLA12_MT-118,1,0.04158
NLA12_ND-151,1,1.24517
NLA12_WV-115,1,0.12299
NLA12_NH-112,1,0.0802
NLA12_MN-163,1,1.9
NLA12_ND-173,1,0.70905
NLA12_LA-104,1,0.16579
NLA12_NV-103,1,0.06828
NLA12_NV-102,1,0.07111
NLA12_MN-130,1,0
NLA12_KS-109,2,0.09857
NLA12_LA-154,1,NA
NLA12_LA-155,1,0.088
NLA12_UT-160,1,0.15589
NLA12_TX-101,1,0.15711
NLA12_MI-R09,1,0.09691
NLA12_MT-138,1,0.24098
NLA12_TX-160,1,0.09994
NLA12_MO-104,1,0.03476
NLA12_MO-117,1,0
NLA12_CO-124,1,0
NLA12_LA-106,1,2.32405
NLA12_LA-109,1,0.09048
NLA12_TX-195,1,0.11758
NLA12_IA-106,1,0.23923
NLA12_ND-115,2,0.12958
NLA12_NV-141,1,0.95549
NLA12_WI-140,1,0
NLA12_MD-102,1,0.11158
NLA12_DE-105,1,0
NLA12_KS-126,1,0
NLA12_IA-R03,1,0.0794
NLA12_IA-103,1,0.04128
NLA12_VA-R01,1,0.0673
NLA12_NV-193,1,0.08178
NLA12_TX-187,1,0.27036
NLA12_CO-102,1,0.04844
NLA12_KS-106,1,0.10719
NLA12_LA-141,1,0.01257
NLA12_MN-105,1,0
NLA12_MT-126,1,0.21999
NLA12_NJ-107,1,0.08994
NLA12_SD-106,1,0.11301
NLA12_TX-157,1,0.07055
NLA12_WV-113,1,0.07648
NLA12_SD-110,1,0.26714
NLA12_IL-110,1,0.17212
NLA12_NH-105,1,0.06931
NLA12_CT-115,1,0.08427
NLA12_IA-R01,1,0.13197
NLA12_MN-109,1,0.35
NLA12_VA-R17,1,0.09138
NLA12_MT-154,1,0.63212
NLA12_ID-194,1,0
NLA12_UT-173,1,0.10064
NLA12_UT-165,1,0
NLA12_WV-111,1,0
NLA12_NV-109,1,0.13441
NLA12_KS-107,1,0.31812
NLA12_RI-104,1,0
NLA12_PA-118,1,0
NLA12_PA-109,1,0
NLA12_NY-0102,1,0.13205
NLA12_WV-R01,1,0.11113
NLA12_DE-102,1,3.71317
NLA12_MN-150,1,0
NLA12_IA-R02,1,5.8072
NLA12_ND-102,1,1.85603
NLA12_OR-111,1,43.8622
NLA12_IA-113,1,0.15325
NLA12_TX-107,1,0.17464
NLA12_KS-121,1,0.07648
NLA12_ND-119,1,0.33742
NLA12_ND-167,1,3.03155
NLA12_CT-102,1,0.07877
NLA12_LA-134,2,0.24081
NLA12_NH-103,1,0
NLA12_TX-105,1,0
NLA12_ND-187,1,0.12723
NLA12_LA-101,2,0.23042
NLA12_UT-186,1,0.088
NLA12_UT-141,1,0.09138
NLA12_MN-138,1,0
NLA12_SD-102,1,1.88462
NLA12_CO-114,1,0.07381
NLA12_CO-131,1,0.08375
NLA12_MN-153,1,0
NLA12_WV-112,1,0.0949
NLA12_MT-142,1,0
NLA12_GA-118,1,0.07522
NLA12_MD-105,1,0.4367
NLA12_IA-150,1,0.3376
NLA12_LA-172,1,0.13571
NLA12_OK-103,1,0.13297
NLA12_OH-103,1,0
NLA12_WA-118,1,0
NLA12_UT-148,1,0.12268
NLA12_KS-122,1,0.10178
NLA12_RI-102,1,0
NLA12_ID-168,1,0
NLA12_KY-107,2,0
NLA12_ID-141,1,0
NLA12_UT-125,1,0
NLA12_KY-116,1,0.22642
NLA12_KY-101,2,0
NLA12_VT-112,1,0.17613
NLA12_ID-113,1,0
NLA12_ID-101,1,0.05279
NLA12_SD-183,1,0.03062
NLA12_ND-196,1,0.5968
NLA12_UT-260,1,0
NLA12_RI-111,1,0.24235
NLA12_MD-101,1,0.05832
NLA12_KS-101,2,0.06525
NLA12_ID-209,1,0.07661
NLA12_ID-175,1,0.07388
NLA12_CO-108,1,0
NLA12_IA-152,1,4.0343
NLA12_ND-106,1,0.0557
NLA12_WA-157,1,0
NLA12_WA-121,1,0
NLA12_WY-101,1,0.07522
NLA12_MO-108,1,0.0938
NLA12_WY-104,1,0.19594
NLA12_WY-107,1,0.07225
NLA12_MI-111,1,0.05809
NLA12_MI-114,1,0.1519
NLA12_MI-135,1,0.09973
NLA12_MI-155,1,0.30749
NLA12_WY-130,1,0.08324
NLA12_IA-104,1,0.10655
NLA12_CA-101,1,0.45198
NLA12_GA-105,1,0
NLA12_MT-107,1,0.07625
NLA12_OK-105,1,0.14444
NLA12_WY-105,1,0.08905
NLA12_OR-104,1,0
NLA12_OK-106,1,0.12967
NLA12_ND-101,2,1.87295
NLA12_IA-127,1,0.08635
NLA12_MO-R02,1,0.10005
NLA12_NJ-131,1,0.30915
NLA12_MN-147,1,0
NLA12_VA-111,1,0.0897
NLA12_VA-101,1,0.07795
NLA12_WA-138,1,0
NLA12_VT-R01,1,0
NLA12_UT-169,1,0.07788
NLA12_NJ-118,1,0.06761
NLA12_OK-117,1,0.293
NLA12_MN-123,1,0
NLA12_SD-126,1,1.7078
NLA12_TX-176,1,0.12857
NLA12_CA-180,1,0.07661
NLA12_MT-143,1,0.08892
NLA12_ND-134,1,2.28925
NLA12_ND-107,1,0.42797
NLA12_MO-R01,1,0.06659
NLA12_WY-135,1,0.09084
NLA12_WY-131,1,0.08231
NLA12_CT-104,1,0.06411
NLA12_RI-110,1,0
NLA12_VA-121,1,0.1888
NLA12_VA-105,1,0
NLA12_VT-R02,1,0.10688
NLA12_UT-210,1,0.06634
NLA12_OR-169,1,0
NLA12_CO-115,1,0.07877
NLA12_MI-101,1,0.06166
NLA12_NH-102,1,0.08781
NLA12_OH-136,1,1.4296
NLA12_OK-302,1,0.101
NLA12_SD-158,1,3.01118
NLA12_TX-170,1,0.14642
NLA12_TX-190,1,0.10659
NLA12_PA-105,1,0
NLA12_PA-110,1,0
NLA12_MN-101,1,0
NLA12_IA-134,1,0.80026
NLA12_CA-105,1,0.11835
NLA12_MO-115,1,0.10229
NLA12_MT-108,1,0.64599
NLA12_NV-105,1,0.07225
NLA12_NV-119,1,0.1049
NLA12_NV-104,1,0.14536
NLA12_RI-112,1,0
NLA12_MN-116,1,0.34
NLA12_WA-141,1,0.54147
NLA12_RI-113,1,0.09854
NLA12_SD-111,1,42.7485
NLA12_NJ-102,1,0.09412
NLA12_NJ-119,1,0.06685
NLA12_UT-101,2,0
NLA12_UT-222,1,0.15452
NLA12_UT-137,1,0.11979
NLA12_ID-112,1,0
NLA12_ID-102,1,0
NLA12_ID-108,1,0
NLA12_ID-207,1,0.09198
NLA12_CA-R13,1,0.03319
NLA12_CO-101,1,0.17655
NLA12_NY-R02,1,0.11169
NLA12_TX-136,1,0.10671
NLA12_WA-101,1,0
NLA12_ID-165,1,0
NLA12_ID-121,1,0
NLA12_ID-105,1,0
NLA12_NY-0106,1,0
NLA12_VA-109,2,0
NLA12_SD-134,1,0.19104
NLA12_CA-R12,1,0
NLA12_TX-111,1,0.16935
NLA12_NY-0110,1,0.10623
NLA12_OR-113,1,0
NLA12_CA-190,1,0.39483
NLA12_NJ-104,1,0
NLA12_NJ-101,1,0
NLA12_IL-118,1,0.39112
NLA12_MD-115,1,0.14705
NLA12_CT-118,1,0
NLA12_UT-294,1,0
NLA12_OR-123,1,0.03805
NLA12_AL-102,1,0.15209
NLA12_CA-154,1,0.05429
NLA12_CA-R06,1,0.11398
NLA12_NH-111,1,0
NLA12_OH-118,1,0.03068
NLA12_RI-103,1,0.12112
NLA12_VA-118,1,0
NLA12_SD-108,1,0.12371
NLA12_IA-101,2,0.31792
NLA12_MN-113,1,3.86
NLA12_TX-112,1,0.13801
NLA12_TX-152,1,3.27345
NLA12_IL-104,1,0.2337
NLA12_OR-155,1,0
NLA12_MI-144,1,0.10806
NLA12_CA-R10,1,0
NLA12_MO-103,1,0.10899
NLA12_WA-126,1,0
NLA12_WA-112,1,0.10638
NLA12_WA-108,1,0.11861
NLA12_VA-110,1,0.15648
NLA12_VA-103,1,0
