SITE_ID,VISIT_NO,CHLL_RESULT_ugL,CHLX_RESULT_ugL
NLA12_LA-134,1,24.03,8.72
NLA12_IA-101,1,95.2,79.8
NLA12_KS-102,1,22.4,8.564705882
NLA12_TX-R02,1,3.76,8.44
NLA12_KS-124,1,22.44,19.71
NLA12_AZ-101,2,7.15,6.773333333
NLA12_KS-R11,1,3.66,3.896
NLA12_MO-119,1,3.63,4.336
NLA12_NV-127,1,23.92,1.815
NLA12_NV-167,1,2.55,0.410133333
NLA12_TX-144,1,5.46,6.848
NLA12_LA-102,1,7.63,11.664
NLA12_WI-R06,1,9.52,9.226666667
NLA12_SD-168,1,9.84,16.88
NLA12_ND-186,1,7.34,8.16
NLA12_CA-157,1,11,3.4
NLA12_LA-105,1,22.63,12.096
NLA12_LA-161,1,11.36,13.648
NLA12_ND-108,1,388.8,446.4
NLA12_OK-134,1,21.4,13.4
NLA12_TX-165,1,4.24,7.9
NLA12_ND-126,1,59.2,62.8
NLA12_KS-101,1,7.46,6.433333333
NLA12_CA-121,1,5,2.8
NLA12_IA-109,1,6.56,5.268571429
NLA12_LA-103,1,8.84,7.82
NLA12_LA-152,1,35.2,47.1
NLA12_MN-102,1,4.58,5.68
NLA12_MT-109,1,3.8,5.237333333
NLA12_UT-105,1,6.32,2.568
NLA12_TX-117,1,50.4,88.8
NLA12_OR-110,1,3.81,3.71967655
NLA12_OK-120,1,7.43,11.4
NLA12_OK-104,1,14.4,4.28
NLA12_NH-101,1,48.64,2.344
NLA12_MI-R08,1,4.58,6.848
NLA12_SD-172,1,NA,3.688
NLA12_SD-124,1,62.9,62.8
NLA12_SD-140,1,9.35,8.112
NLA12_MN-108,1,2.69,3.52
NLA12_CT-101,1,7.54,3.664
NLA12_NH-R04,1,1.06,0.604
NLA12_WV-101,1,2.43,2.284
NLA12_ND-155,1,0.65,0.708
NLA12_NY-0101,1,0.7,0.912727273
NLA12_OK-109,1,6.99,6.77
NLA12_MT-118,1,8.08,13.28
NLA12_ND-151,1,46.72,48.96
NLA12_WV-115,1,2.03,1.66
NLA12_NH-112,1,2.24,2.24
NLA12_MN-163,1,56.96,68.16
NLA12_ND-173,1,2.89,3.004
NLA12_LA-104,1,16.96,16.16
NLA12_NV-103,1,0.42,0.334
NLA12_NV-102,1,2.06,4.714666667
NLA12_MN-130,1,3.34,7.536
NLA12_KS-109,2,9.76,12.97777778
NLA12_LA-154,1,561.6,250
NLA12_LA-155,1,4.14,5.266666667
NLA12_UT-160,1,7.74,0.704
NLA12_TX-101,1,40.96,48.4
NLA12_MI-R09,1,0.99,1.143225806
NLA12_MT-138,1,11.41,11.296
