SITE_ID,VISIT_NO,CHLL_RESULT_ugL,CHLX_RESULT_ugL
NLA12_NC-104,1,18.2,7.52
NLA12_IN-164,1,2.16,2.309
NLA12_ME-101,1,1.72,1.909
NLA12_ME-126,1,1.56,1.652
NLA12_NE-107,1,23.3,28
NLA12_OR-112,1,18,8.114285714
NLA12_VA-112,1,14.88,6.417
NLA12_VA-123,1,82.4,111.6
NLA12_WI-R13,1,6.16,8.672
NLA12_MI-150,1,8.18,7.428571429
NLA12_GA-111,1,14.84,32.52
NLA12_IN-102,1,4.16,4.272
NLA12_IN-106,1,8.69,8.48
NLA12_MI-125,1,6.83,5.84
NLA12_CA-108,1,7,9
NLA12_UT-118,1,1.26,1.36
NLA12_CT-103,1,1.77,2.324
NLA12_MN-177,1,56,77.2
NLA12_PA-108,2,104.26,29.37
NLA12_TX-116,1,12.8,4.72
NLA12_IN-166,1,28.53,22.72
NLA12_WI-134,1,584,582
NLA12_OR-102,1,116,11.28
NLA12_AR-109,1,11.68,10.32
NLA12_AR-104,1,6.69,6.624
NLA12_FL-130,1,8.25,10.9
NLA12_MN-167,1,49.6,48.8
NLA12_NC-127,1,7.12,7.725714286
NLA12_ME-120,1,3.56,2.72
NLA12_AZ-103,1,6.96,15.34
NLA12_FL-102,2,33.76,31.84
NLA12_CO-133,1,0.9,1.104
NLA12_MN-160,1,15.04,15.16
NLA12_IN-159,1,25.2,60.912
NLA12_NE-111,1,7.34,7.428571429
NLA12_FL-109,1,29.2,34.64
NLA12_FL-105,1,110.8,88.8
NLA12_NE-112,1,13.28,5.28
NLA12_UT-218,1,6.25,3.858823529
NLA12_SC-112,2,5.79,6.64
NLA12_NC-124,1,50.27,92.016
NLA12_NC-115,1,9.12,13.22666667
NLA12_SD-131,1,81.44,148.32
NLA12_ND-156,1,81.12,78.56
NLA12_WY-116,1,1.19,NA
NLA12_SC-118,1,18.9,12.8
NLA12_IN-120,1,4.63,21.7
NLA12_IN-145,1,74.56,77.76
NLA12_FL-110,2,15.77,5.6
NLA12_FL-126,1,16.7,11.30666667
NLA12_MO-105,1,11.66,20
NLA12_MO-110,1,14.75,6.656
NLA12_ID-112,2,2.89,6.16
NLA12_IN-101,2,4.48,4.76
NLA12_WA-109,1,1.71,3.674666667
NLA12_CA-103,1,0.6,0.2
NLA12_ME-102,1,3.5,2.736
NLA12_OR-109,1,0.35,0.1216
NLA12_IN-149,1,17.88,12.88
NLA12_IN-179,1,36.5,171
NLA12_IN-187,1,4.7,5.04
NLA12_ME-116,1,2.67,3.461
NLA12_MN-152,1,61.2,59.6
NLA12_MT-140,1,0.35,0.338
NLA12_NE-125,1,220.8,212
NLA12_SC-102,1,17.09,36.24
NLA12_WY-R04,1,35.68,34.4
NLA12_IL-112,1,38.72,24.8
NLA12_CA-111,2,1.7,1.5
NLA12_SD-115,2,164,172
NLA12_ME-R07,1,1.27,1.708
NLA12_MN-112,1,57.6,92.8
NLA12_WI-161,1,13.9,9.19
NLA12_MN-135,1,130.93,80
NLA12_OR-128,1,4.6,5.323076923
NLA12_CT-108,1,7.24,7.84
NLA12_NY-0104,2,55.52,9.552
NLA12_MD-104,1,106,118.8
NLA12_WA-133,1,6.03,9.92
NLA12_CO-130,1,4.2,5.187692308
NLA12_UT-126,1,0.68,0.486857143
NLA12_OK-107,1,18.9,10.3
NLA12_NE-121,1,206,218.6666667
NLA12_VA-127,1,15.62,35.4
NLA12_VA-130,1,16.4,36.6
NLA12_MN-114,1,5.68,115.7333333
NLA12_DE-103,1,18.4,12.72
NLA12_IL-116,1,0.22,0.220699301
NLA12_MO-108,2,5.9,6.928
NLA12_PA-113,1,6.55,5.65
NLA12_MD-105,2,58.6,43.2
NLA12_IN-185,1,25.52,30
NLA12_CA-135,1,4.1,3.8
NLA12_CA-123,1,2.4,2
NLA12_SD-101,2,3.28,2.34
NLA12_GA-112,2,4.48,6.624
NLA12_TX-128,1,7.82,5.52
NLA12_OR-144,1,10.53,1.194666667
NLA12_UT-159,1,2,1.509333333
NLA12_UT-147,1,3.1,9.611428571
NLA12_SC-127,1,11.07,10.88
NLA12_WY-R01,1,0.62,0.6656
NLA12_MT-144,1,4.11,5
NLA12_SD-143,1,5.2,7.413333333
NLA12_SC-104,2,14.99,20.08
NLA12_IN-103,1,28.8,27.57333333
NLA12_ME-129,1,3.55,3.925333333
NLA12_IN-163,1,40.59,35.6
NLA12_ME-118,1,1.68,2.092
NLA12_AZ-145,1,26.06,39.2
NLA12_AR-101,2,30.8,26.76
NLA12_AR-105,2,12.27,12.42666667
NLA12_OH-101,1,61.6,74.56
NLA12_CO-131,2,5.87,23.38461538
NLA12_FL-141,1,7.66,17.25714286
NLA12_GA-R11,1,37.04,3.216
NLA12_NE-105,1,46.67,48.467
NLA12_NE-108,1,257.33,269.3333333
NLA12_NC-116,2,53.03,53.02857143
NLA12_NC-101,2,12,10.9
NLA12_NM-161,1,2.21,1.715
NLA12_IN-128,2,3.26,5.6
NLA12_NM-104,2,23.4,22
NLA12_NM-162,1,1.57,1.93
NLA12_FL-132,1,44.8,34.572
NLA12_FL-123,2,1.18,1.684
NLA12_FL-101,2,12.61,9.52
NLA12_NE-113,1,108,120.8
NLA12_NE-102,1,257.33,182.6666667
NLA12_MT-102,1,0.97,0.884571429
NLA12_IN-174,1,5.08,3.204
NLA12_SD-109,1,37.2,43.1
NLA12_NM-117,2,31.2,10.8
NLA12_OR-121,1,1,0.769230769
NLA12_OH-107,1,107.28,105.984
NLA12_CA-206,1,0.7,1.6
NLA12_IN-171,1,9.54,11.952
NLA12_MN-127,1,42.8,40.8
NLA12_IN-186,1,2.64,2.736
NLA12_DE-104,1,75.04,45.12
NLA12_IN-180,1,9.67,13.44
NLA12_MO-123,1,42,56.66666667
NLA12_WY-R08,1,2.41,2.432
NLA12_AR-106,1,128,59.2
NLA12_GA-103,1,12.3,24.48
NLA12_NC-114,1,40.8,56.26666667
NLA12_NE-135,1,182.4,233.6
NLA12_SC-103,2,1.41,1.232941176
NLA12_SD-170,1,31.87,25.46666667
NLA12_ND-113,1,6.65,11.2
NLA12_ME-104,1,4.7,3.272
NLA12_CO-101,2,52.8,64.4
NLA12_MT-136,1,0.47,0.684
NLA12_MN-136,1,8.8,13.44
NLA12_MN-158,1,69.2,97.6
NLA12_ME-105,1,7.3,6.528
NLA12_AR-102,1,72.9,74
NLA12_AR-111,1,19.47,23.89333333
NLA12_CA-141,1,20,21
NLA12_CA-208,1,9,9
NLA12_ND-199,1,4.45,6.24
NLA12_OH-104,1,52.16,53.92
NLA12_AZ-R02,1,3.8,8.52
NLA12_ME-122,1,4.62,1.68
NLA12_MT-120,1,0.69,1.03
NLA12_ND-105,1,31.09,23.92
NLA12_WA-101,2,4.4,10.72
NLA12_NE-127,1,28.47,19.73333333
NLA12_OR-160,1,0.42,0.692
NLA12_OR-103,1,0.86,0.701333333
NLA12_IN-104,1,13.87,16.24
NLA12_IN-115,1,7.41,14.13
NLA12_OH-118,2,8.8,10.4
NLA12_NC-134,1,24.32,25.44
NLA12_SD-154,1,19.02,35.56923077
NLA12_GA-127,1,15.04,21.8
NLA12_WA-125,1,7.7,3.98
NLA12_AZ-R01,1,1.92,3.3075
NLA12_CO-109,1,5.42,5.993
NLA12_ME-107,1,6,1.508571429
NLA12_NE-160,1,22.6,21.37142857
NLA12_WI-179,1,6.44,6.78
NLA12_WI-109,1,18.5,22.1
NLA12_WI-115,1,21.5,19.6
NLA12_AZ-130,2,3.44,5.8
NLA12_VT-112,2,5.82,2.432
NLA12_MT-164,1,2.8,1.782
NLA12_PA-111,1,56.07,19.22
NLA12_PA-115,1,3.2,11.39
NLA12_TX-218,1,103.2,98
NLA12_OH-115,1,4.67,3.188
NLA12_AR-103,1,4.13,4.944
NLA12_AZ-106,1,13,5.244
NLA12_AZ-123,1,210.6,253.8
NLA12_NE-154,1,93.33,114.9333333
NLA12_NE-156,1,396.8,424
NLA12_NE-101,2,7.94,16.64
NLA12_WA-103,1,1.64,1.770666667
NLA12_NE-166,1,28.8,24.1
NLA12_NE-149,1,272,248
NLA12_SD-157,1,37.44,32.508
NLA12_NE-170,1,253.08,248.76
NLA12_SD-162,1,78.24,85.44
NLA12_MT-151,1,4.48,57.6
NLA12_AZ-157,1,207.14,241.2
NLA12_ME-126,2,1.4,1.456
NLA12_OH-106,1,4.19,9.066666667
NLA12_CO-R01,1,1.96,1.372
NLA12_CA-102,1,116,99
NLA12_CA-156,1,33,31
NLA12_SD-103,1,11.89,13.7
NLA12_SD-150,1,37.3,13
NLA12_SD-141,1,8.72,6.2
NLA12_GA-101,2,258,76.8
NLA12_MT-135,1,153,231.12
NLA12_NE-129,2,122.67,160.32
NLA12_CO-R10,1,6.67,5.136
NLA12_MN-123,2,5.18,2.976
NLA12_MN-171,1,18.96,18.69333333
NLA12_MD-101,2,1.65,1.668
NLA12_MO-122,1,148.4,86.4
NLA12_MO-126,1,71.6,117.6666667
NLA12_WA-146,1,1.51,1.429333333
NLA12_IN-142,1,128.4,12.48
NLA12_MN-144,1,6.99,1.632
NLA12_CO-107,1,1.45,1.224
NLA12_CT-101,2,4.31,9.84
NLA12_WV-101,2,4.87,4.48
NLA12_TX-199,1,209.6,148
NLA12_NE-157,1,14.8,15.76
NLA12_MT-103,1,14.4,3.296
NLA12_IL-114,1,2.41,2.8768
NLA12_IN-117,1,4.84,4.284
NLA12_MN-101,2,19.07,27.73333333
NLA12_SD-198,1,0.85,1.914
NLA12_ME-115,1,1.5,1.872
NLA12_GA-114,1,19.2,10.608
NLA12_IN-191,1,65.47,56.1
NLA12_WA-114,1,29.2,5.162666667
NLA12_AZ-143,1,7.27,13.51111111
NLA12_UT-374,1,1.09,1.676
NLA12_PA-103,1,25.63,28.93
NLA12_CO-105,1,102.67,101.3
NLA12_NE-158,1,5.15,5.48
NLA12_IL-103,1,20.16,30.08
NLA12_MT-119,1,145.2,143.6
NLA12_UT-122,1,3.82,5.08
NLA12_TX-118,1,25.52,25.4
NLA12_CA-181,1,4,6
NLA12_CO-R07,1,1.35,2.116
NLA12_IN-126,1,24.64,26.88
NLA12_TX-202,1,25.76,25.28
NLA12_OK-133,1,58.5,71.1
NLA12_UT-324,1,1.87,1.850666667
NLA12_ME-135,1,2.52,2.256
NLA12_MT-161,1,5.53,5.32
NLA12_OH-101,2,61.33,62.6
NLA12_UT-325,1,9.7,4.48
NLA12_WA-115,1,1.44,1.608
NLA12_OK-286,1,104,191
NLA12_WV-112,2,66,63.2
NLA12_UT-229,1,3.12,3.516
NLA12_MN-181,1,4.26,2.592
NLA12_MN-180,1,17.16,18.32
NLA12_CA-212,1,1.8,2
NLA12_OH-R03,1,6.4,5.344
NLA12_MN-162,1,8.56,7.536
NLA12_MN-170,1,3.89,5.512
NLA12_ME-108,1,7.58,5.662857143
NLA12_IN-162,1,17.44,16.32
NLA12_IN-112,1,139.82,33.12
NLA12_IN-131,1,6.32,0.908
NLA12_CT-115,2,3.94,4.16
NLA12_TX-137,1,2.11,2.436
NLA12_CO-127,1,477,97.2
NLA12_MO-120,1,38.6,46
NLA12_PA-119,1,0,1.8
NLA12_OH-112,1,5.18,8.587
NLA12_CA-138,1,3.7,2.6
NLA12_WI-133,1,9.59,15.9
NLA12_WI-132,1,71.4,71.3
NLA12_WI-181,1,24.3,17.7
NLA12_WI-135,1,1.67,7.15
NLA12_WI-111,1,2.62,3.15
NLA12_MT-177,1,3.56,2.197333333
NLA12_MA-101,1,14.6,15.5
NLA12_MA-105,1,14.3,6.34
NLA12_IN-183,1,71.4,12.976
NLA12_WA-124,1,3.98,41.84
NLA12_MA-111,1,6.51,5.533333333
NLA12_WA-120,1,1.64,1.4868
NLA12_UT-110,2,4.48,2.692
NLA12_UT-290,1,2.28,3.907692308
NLA12_MA-108,1,50,18.18666667
NLA12_WY-125,1,5.69,2.544
NLA12_OK-102,1,277,40.5
NLA12_OK-285,1,18.4,21.7
NLA12_CA-107,1,4.7,3.8
NLA12_DE-121,1,39.36,15.472
NLA12_WV-105,1,3.74,15.3
NLA12_MT-102,2,1.81,1.6416
NLA12_ME-101,2,2.14,2.412
NLA12_MT-105,1,0.97,1.014
NLA12_CO-111,1,1.66,3.513333333
NLA12_OR-126,1,1.99,1.468
NLA12_OR-173,1,1.03,0.725333333
NLA12_TX-159,1,17.68,20
NLA12_OK-311,1,12.7,13.8
NLA12_OK-101,2,14.5,15.1
NLA12_CA-104,1,1.9,2.2
NLA12_MT-111,1,1.07,1.134
NLA12_OH-122,1,63.8,64.32
NLA12_ME-137,1,1.71,4.874
NLA12_IN-196,1,3.28,4.165714286
NLA12_MA-102,1,1.03,2.154666667
NLA12_WA-116,1,4.06,4.432
NLA12_WA-104,1,3.64,25.76
NLA12_MA-104,1,29.12,33.76
NLA12_IL-111,1,44.96,59.36
NLA12_CT-105,1,30.08,26.08
NLA12_TN-106,1,10.45,28
NLA12_OK-299,2,5.41,5.18
NLA12_UT-264,1,273.6,24.1
NLA12_CO-103,1,6.84,4.768
NLA12_PA-101,2,2.22,5.14
NLA12_UT-343,1,3.41,0.3148
NLA12_UT-359,1,198.4,173.2
NLA12_OR-103,2,1.7,0.349
NLA12_TX-R08,1,32.47,40
NLA12_IN-193,1,5.31,5.104
NLA12_OR-121,2,0.31,0.8896
NLA12_MT-164,2,1.28,1.216
NLA12_NJ-105,1,8.77,3.216
NLA12_NY-0101,2,7.48,1.59
NLA12_TX-101,2,74.56,76.96
NLA12_IN-199,1,16.8,4.18
NLA12_WA-159,1,7.98,7.552
NLA12_TN-122,1,18.24,19.04
NLA12_MO-106,1,61.7,66.6
NLA12_MA-106,1,2.59,5.273846154
NLA12_IL-105,1,10.68,12.37333333
NLA12_MA-109,1,1.53,1.472
NLA12_NJ-106,1,21.28,105.84
NLA12_DE-107,1,4.06,8.48
NLA12_WY-101,2,1.11,1.0944
NLA12_WY-137,1,0.68,0.829333333
NLA12_CO-104,1,183.2,218
NLA12_NY-0112,1,2.88,5.137777778
NLA12_ME-113,1,13.94,12.816
NLA12_MA-110,1,4.49,5.08
NLA12_TN-119,1,26.56,23.04
NLA12_TN-114,2,25.12,12.352
NLA12_TN-108,2,48,50.93333333
NLA12_MA-103,1,3.48,4.68
NLA12_TN-103,1,22.88,30.72
NLA12_DE-105,2,5.52,3.528
NLA12_IL-109,2,40.8,39.5
NLA12_SD-146,1,2.55,7.936
NLA12_TN-101,2,40.64,60.8
NLA12_WA-151,1,0.41,0.652
NLA12_WY-147,1,11.57,5.493333333
NLA12_WY-124,2,2.25,0.602666667
NLA12_OR-163,1,2.39,3.411428571
NLA12_OR-158,1,118.94,45.6
NLA12_OH-105,1,104.4,111.2
NLA12_NJ-131,2,3.01,2.445714286
NLA12_MT-162,1,1.2,1.624
NLA12_OH-113,1,40.8,88.8
NLA12_IN-135,1,10.67,3.56
NLA12_TX-232,1,9.92,11.968
NLA12_NY-0103,1,0.98,1.28
NLA12_AZ-102,1,55.52,32.3
NLA12_IN-155,1,2.37,3.253333333
NLA12_IN-201,1,19.12,24.48
NLA12_MA-105,2,8.96,7.84
NLA12_DE-101,2,61.33,65.33333333
NLA12_TX-161,1,43.8,14.176
NLA12_WA-133,2,6.11,8.16
NLA12_NJ-101,2,13.55,13.973333330000001
NLA12_MO-101,2,53.5,51.2
NLA12_ND-R17,1,22.4,27.867
NLA12_ND-R18,1,14.73,20.4
NLA12_TN-104,1,5.16,5.112
NLA12_TN-R01,1,1.32,3.384
NLA12_TX-235,1,87.36,44.48
NLA12_MA-101,2,31.47,8.288
NLA12_NJ-R01,1,7.22,11.472
NLA12_NJ-103,1,38.48,35.76
NLA12_IN-202,1,13.28,10.88
NLA12_CA-101,2,39,14
NLA12_NJ-108,1,3.57,3.744
NLA12_TX-129,1,5.97,12.288
NLA12_IL-123,1,216,234.4
NLA12_UT-397,1,1.2,1.116
NLA12_UT-412,1,7.67,9.28
NLA12_TX-R09,1,5.58,7.968
NLA12_UT-424,1,6.93,5.702857143
NLA12_UT-392,1,3.74,4.2
NLA12_IL-103,2,86.4,43.84
NLA12_CA-223,1,1.8,0.8
NLA12_WA-154,1,12.42,10.432
NLA12_WA-110,1,1.25,1.872
NLA12_UT-409,1,31.2,39.68
NLA12_TX-234,1,9.02,9.163636364
NLA12_TX-196,1,25.28,27.2
NLA12_UT-400,1,4.46,10.24
NLA12_MO-102,1,37.92,34.88
NLA12_MS-116,1,4.27,3.944
NLA12_MS-R03,1,52.8,55.84
NLA12_MS-119,1,24.8,23.04
NLA12_VT-101,1,1.88,0.952
NLA12_TX-141,1,7.59,7.064
NLA12_TX-169,1,8.36,1.245333333
NLA12_OR-133,1,3.42,1.424
NLA12_OR-131,1,3.51,20.22857143
NLA12_TX-158,1,18.88,26.6
NLA12_ID-107,1,3.02,3.024
NLA12_VT-102,1,4.14,3.76
NLA12_OR-101,1,6.29,6.492957746
NLA12_TX-135,1,28.32,30.24
NLA12_WI-101,1,63,46.9
NLA12_ID-151,1,91.84,764.64
NLA12_TX-110,1,14.06,14.85714286
NLA12_WI-102,1,0.92,1.27
NLA12_ID-109,1,13.76,18.88
NLA12_ID-111,1,12.4,12.24
NLA12_VT-106,1,4.91,5.28
NLA12_WI-152,1,28.9,5.15
NLA12_WI-113,1,4.21,2.48
NLA12_MI-151,1,3.05,3.423
NLA12_WI-117,1,6.03,4.53
NLA12_MI-139,1,8.47,8.32
NLA12_MI-124,1,3.01,3
NLA12_TX-117,2,126.4,144.8
NLA12_OR-106,1,1.48,0.997894737
NLA12_WI-136,1,6.27,6.22
NLA12_MI-109,1,9.77,19.34883721
NLA12_TX-109,1,13.7,11.2
NLA12_VT-109,1,8.88,7.76
NLA12_MI-136,1,6.92,6.224
NLA12_MI-105,1,3.39,12
NLA12_CA-R09,1,0.34,0.422
NLA12_MI-167,1,4.08,12.64
NLA12_WI-168,1,5.73,3.2
NLA12_TX-124,1,10.48,12.08
NLA12_TX-148,1,7.31,5.64
NLA12_WI-172,1,294,85.3
NLA12_MI-108,1,5.13,4.48
NLA12_ID-149,1,13.28,26.72
NLA12_ID-148,1,5.2,5.546666667
NLA12_ID-103,1,3.16,3.562666667
NLA12_MI-104,1,5.28,5.176
NLA12_VT-104,1,1.63,3.168
NLA12_MI-120,1,13.84,22.48
NLA12_TX-103,1,17.44,14.5
NLA12_MI-152,1,8.48,23.3
NLA12_MI-128,1,3.38,3.032
NLA12_MI-168,1,12.64,13.41538462
NLA12_MI-112,1,18.16,17.04
NLA12_MI-115,1,3.55,3.5
NLA12_WI-131,1,32.2,20.3
NLA12_WI-154,1,13,21.3
NLA12_NE-109,1,9.2,12.01333333
NLA12_NE-103,1,33.68,32.26666667
NLA12_NE-114,1,6.5,5.82
NLA12_WA-106,1,109.6,36.64
NLA12_NE-104,1,163.8,157.86
NLA12_MI-117,1,2.84,3.144
NLA12_MI-102,1,4.26,33.44
NLA12_NE-133,1,2.27,2.66
NLA12_MI-110,1,1.59,1.501714286
NLA12_MI-129,1,2.13,2.373333333
NLA12_VT-114,1,1.17,1.851428571
NLA12_MI-123,1,1.88,6.186666667
NLA12_MI-161,1,12.29,15.392
NLA12_WI-166,1,12.4,11.8
NLA12_MI-165,1,12.74,16.48
NLA12_MI-162,1,1.97,2.341333333
NLA12_MI-132,1,12.78,7.26
NLA12_MI-118,1,2.5,2.974117647
NLA12_WA-107,1,28.96,42.88
NLA12_WI-112,1,4.18,6.3
NLA12_WI-108,1,114,72.4
NLA12_VT-101,2,1.57,0.731
NLA12_MI-169,1,3.66,21.12
NLA12_MI-148,1,1.91,1.530666667
NLA12_WA-129,1,2.43,1.858285714
NLA12_WI-155,1,9.67,18
NLA12_WI-103,1,6.14,5.22
NLA12_MI-137,1,6.68,5.4625
NLA12_WI-151,1,10,8.11
NLA12_WI-127,1,60.9,82.5
NLA12_MI-164,1,16.11,25.65333333
NLA12_WI-104,1,4.97,3.02
NLA12_ID-143,1,21.12,5.76
NLA12_MI-116,1,4.21,3.568
NLA12_ID-216,1,42.72,86.56
NLA12_WI-129,1,5.7,14.5
NLA12_NH-115,1,1.32,1.984
NLA12_MI-141,1,2.4,2.313333333
NLA12_WA-131,1,3.27,2.176
NLA12_WI-107,1,30.5,20.4
NLA12_WA-111,1,1.56,1.568
NLA12_ID-214,1,24,8.72
NLA12_WI-120,1,66.7,57.2
NLA12_VT-115,1,0.44,0.328
NLA12_WI-128,1,29,28.2
NLA12_MI-138,1,2.91,4.113333333
NLA12_WI-110,1,2.58,2.58
NLA12_MI-122,1,1.18,1.045
NLA12_MI-133,1,1.05,1.4016
NLA12_MI-107,1,1.84,3.015384615
NLA12_WI-101,2,103,77.2
NLA12_MI-106,1,3.16,3.466666667
NLA12_MI-126,1,2.87,4.106666667
NLA12_ID-221,1,8.68,6.08
NLA12_ID-218,1,2.37,2.04
NLA12_ID-180,1,1.98,1.156
NLA12_MI-130,1,1.85,1.266666667
NLA12_MI-103,1,2.36,2.56
NLA12_MI-142,1,5.37,6.21
NLA12_MI-101,2,4.92,5.256
NLA12_MI-139,2,6.62,8.32
NLA12_VT-110,1,4.18,9.2475
NLA12_MI-113,1,2.36,2.917333333
NLA12_ID-220,1,1.04,1.130666667
NLA12_ID-205,1,5.44,2.144
NLA12_MI-145,1,4.36,5.824
NLA12_MI-172,1,2.5,2.712
NLA12_WI-138,1,1.52,10.7
NLA12_WI-163,1,36.9,14.8
NLA12_MI-177,1,1.21,1.670857143
NLA12_WI-106,1,17,7.43
NLA12_WI-171,1,4.92,5.37
NLA12_FL-R04,1,3.37,5.155555556
NLA12_MI-178,1,1.22,2.864
NLA12_WI-147,1,3.5,10.3
NLA12_WA-147,1,7.73,1.385806452
NLA12_WI-176,1,3.61,2.81
NLA12_WI-170,1,21.3,11.9
NLA12_WI-112,2,2.52,2.38
NLA12_WY-151,1,2.62,2.96
NLA12_WI-173,1,76.9,77.8
NLA12_WI-188,1,73.3,89.7
NLA12_OR-167,1,19.56,20.68571429
NLA12_WI-142,1,250,14.7
NLA12_WI-153,1,83.8,146
NLA12_WI-183,1,4.19,5.77
NLA12_WI-174,1,12.6,13.9
NLA12_WI-122,1,4.66,6.12
NLA12_WI-157,1,28.7,25.5
