SITE_ID,VISIT_NO,d18O,dD,d_excess,E_I,RT_iso,RT_modeled,Lk_vol_m3
NLA17_MO-10010,1,-3.15,-26.04,-0.84,0.097,0.084812838,0.32440492,7294.5402
NLA17_MO-10015,1,-2.25,-21.55,-3.55,0.189,0.200655681,0.235484668,16830.5597
NLA17_MO-10027,1,-3.15,-27.51,-2.31,0.076,0.041652867,0.30767486,19694.7475
NLA17_MO-10028,1,-3.31,-23.66,2.82,0.133,0.144899735,0.3117759,19717.2845
NLA17_MO-10036,1,0.08,-9.59,-10.23,0.666,0.297009399,0.350404857,43369.9497
NLA17_MO-10038,1,-1.67,-12.5,0.86,0.204,0.956839747,0.300685027,707383.8708
NLA17_MO-10039,1,-2.55,-19.24,1.16,0.16,0.56064184,0.435346189,820467.8937
NLA17_MO-10043,1,-1.14,-14.89,-5.77,0.261,0.554437375,0.321163149,28318.8043
NLA17_MO-HP001,1,-4.61,-28.83,8.05,0.057,0.518223434,0.231076044,9007628.977
NLA17_MO-HP002,1,-2.4,-22.31,-3.11,0.253,1.370107131,0.403764854,863166.3422
NLA17_MO-HP003,1,-4.89,-31.83,7.29,0.076,0.639643404,0.42797089,1303830.528
NLA17_MO-HP004,1,-3.73,-26.97,2.87,0.131,0.545244666,0.326603203,8016658.241
NLA17_MO-HP005,1,-1.98,-21.35,-5.51,0.211,0.718781154,0.579778461,815088.3945
NLA17_MO-HP006,1,-3.85,-25.04,5.76,0.039,0.090060497,0.129081683,345867.4792
NLA17_MO-HP007,1,-4.56,-29.87,6.61,0.093,0.295776777,0.211302287,225234.0498
NLA17_MO-HP008,1,-3.79,-26.51,3.81,0.043,0.109457488,0.181317923,783681.9198
NLA17_MO-HP009,1,-4.5,-28.63,7.37,0.029,0.183429345,0.287349317,993255.921
NLA17_MO-HP010,1,-5.54,-35.25,9.07,0.025,0.094942909,0.194936303,2158564.416
NLA17_MS-10001,1,-3.31,-21.06,5.42,0.14,0.205945076,0.135489029,612801.7625
NLA17_MS-10002,1,-3.62,-24.29,4.67,0.03,0.061360306,0.100461256,76098396.05
NLA17_MS-10003,1,-3.31,-19.33,7.15,0.071,0.292351869,0.171910282,482191022
NLA17_MS-10004,1,0.33,-1.32,-3.96,0.336,0.289652852,0.315932354,674183.337
NLA17_MS-10005,1,-2.53,-16.65,3.59,0.055,0.115146656,0.15855495,1758105.447
NLA17_MS-10006,1,0.19,-8.74,-10.26,0.239,0.142331695,0.291706485,17257.4501
NLA17_MS-10007,1,1.17,-1.28,-10.64,0.433,1.386962014,0.367919706,237983.1402
NLA17_MS-10008,1,0.41,-2.66,-5.94,0.433,0.683741317,0.248745595,17667.2071
NLA17_MS-10013,1,1.34,-1.61,-12.33,0.437,0.392704638,0.295833587,23560.0611
NLA17_MS-10015,1,-1.79,-10.34,3.98,0.123,0.264580358,0.20382022,769901.3166
NLA17_MS-10017,1,1.81,3.92,-10.56,0.724,2.550379993,0.306806188,775502.4239
NLA17_MS-10019,1,0.69,-2.67,-8.19,0.445,0.904949386,0.291418586,1169594.228
NLA17_MS-10021,1,-3.35,-15.81,10.99,0,NA,0.052989642,53494.3964
NLA17_MS-10037,1,-0.02,-3.4,-3.24,0.3,0.484376508,0.223370381,20055853.52
NLA17_MT-10001,1,-13.62,-114.44,-5.48,0.124,0.453150195,0.543518233,11232681.81
NLA17_MT-10002,1,-15.17,-121.85,-0.49,0.036,0.601249253,0.482076104,552656.217
NLA17_MT-10003,1,-14.26,-118.65,-4.57,0.248,1.507163942,0.821122761,43989442.53
NLA17_MT-10004,1,-15.05,-118.02,2.38,0.035,1.126513613,0.314173962,22408098.12
NLA17_MT-10005,1,-16.09,-121.59,7.13,0.052,1.616768366,0.272380967,232269180.1
NLA17_MT-10006,1,-8.97,-93.15,-21.39,0.48,1.670236331,1.033613361,489932.7
NLA17_MT-10007,1,-16.03,-125.43,2.81,0.131,1.29190442,1.120028593,2500476.213
NLA17_MT-10008,1,-16.32,-124.35,6.21,0.064,0.581705212,0.201895342,5269380.949
NLA17_MT-10009,1,-8.41,-82.87,-15.59,0.417,0.268900471,0.745118943,262151.0861
NLA17_MT-10011,1,-16.84,-126.16,8.56,0.026,0.979539044,0.171304091,129771374.3
NLA17_MT-10012,1,-7.07,-77.48,-20.92,0.662,2.464216447,0.758767275,366248.9253
NLA17_MT-10013,1,-13.88,-119.05,-8.01,0.043,0.04661317,0.488298241,561015.5047
NLA17_MT-10014,1,-17.52,-131.92,8.24,0.033,0.420368994,0.401228297,9104655.994
NLA17_MT-10015,1,-15.82,-120.34,6.22,0.07,1.368063406,0.265571763,1644808.516
NLA17_MT-10018,1,-6.81,-80.88,-26.4,0.304,0.305078007,0.776344561,12219.7755
NLA17_MT-10022,1,-2.69,-65.71,-44.19,0.897,5.240681713,0.529447919,2082529.006
NLA17_MT-10023,1,-1.39,-62.95,-51.83,0.884,0.337399418,0.521997374,8005.407
NLA17_MT-10029,1,-10.32,-106.79,-24.23,0.158,0.144147697,1.767106987,40380.3617
NLA17_MT-10030,1,-0.4,-61.44,-58.24,1.246,0.530201855,0.654117398,2796.7136
NLA17_MT-10036,1,-6.73,-78.86,-25.02,0.446,1.727726413,1.342362192,582010.5059
NLA17_MT-10055,1,-7.6,-79.88,-19.08,0.322,0.289573261,0.889259592,152899.9907
NLA17_MT-10059,1,-10.45,-98.59,-14.99,0.244,0.241243196,0.870066648,89543.0944
NLA17_MT-10065,1,-8.72,-96.07,-26.31,0.277,0.449655619,0.850753917,30724.7797
NLA17_MT-10072,1,-16.38,-123.75,7.29,0.046,0.657647268,0.166203786,584348.7365
NLA17_MT-10076,1,-7.74,-87.62,-25.7,0.477,0.664187107,0.653291609,145653.5519
NLA17_MT-10084,1,-6.97,-83.88,-28.12,0.465,2.174402598,0.435260827,416725.4997
NLA17_MT-10101,1,-15.13,-116.51,4.53,0.058,0.355029196,0.249641781,248987.5792
NLA17_MT-10102,1,-15.98,-122.92,4.92,0.009,0.008663702,0.256632664,12914.8778
NLA17_MT-10104,1,-10.16,-98.9,-17.62,0.301,5.859032601,0.984358679,771427.7154
NLA17_MT-10120,1,-11.94,-106.79,-11.27,0.158,0.13825273,0.713652888,5668.1625
NLA17_MT-10129,1,-6.27,-88.29,-38.13,0.404,0.816842062,1.274581853,15327.8996
NLA17_MT-HP001,1,-0.58,-49.52,-44.88,0.801,1.447098284,1.141287282,12238.7807
NLA17_MT-HP002,1,-7.69,-83.7,-22.18,0.469,5.372529698,0.361662306,2527861.588
NLA17_NC-10001,1,-4.91,-29.07,10.21,0,NA,0.127854313,68986008.95
NLA17_NC-10002,1,-5.31,-33.17,9.31,0.025,0.271364636,0.078509188,49408110.06
NLA17_NC-10004,1,-3.9,-22.86,8.34,0.069,0.286829787,0.216321928,988626.8246
NLA17_NC-10005,1,-2.87,-20.68,2.28,0.071,0.055287334,0.224453628,50667.1542
NLA17_NC-10007,1,-6.05,-38.51,9.89,0.005,0.030728333,0.258388382,59962.3896
NLA17_NC-10009,1,-2.51,-20.57,-0.49,0.107,0.041935816,0.223662656,17576.8314
NLA17_NC-10010,1,-1.2,-14.36,-4.76,0.27,0.408516005,0.413387655,13779.8744
NLA17_NC-10011,1,1.49,-0.57,-12.49,0.601,0.426229864,0.329538521,18531.3498
NLA17_NC-10014,1,1.47,6.72,-5.04,0.811,0.325997723,0.210520515,1475616.072
NLA17_NC-10015,1,-3.1,-22.12,2.68,0.089,0.240074037,0.416718684,153333.415
NLA17_NC-10023,1,-1.65,-15.11,-1.91,0.192,0.4474886,0.310771666,504086.0509
NLA17_NC-10030,1,-3.58,-20.17,8.47,0.048,0.151454984,0.256099395,481702.678
NLA17_NC-10033,1,-5.39,-33.99,9.13,0.021,0.014615575,0.138953684,13795.2174
NLA17_ND-10001,1,-1.68,-27.89,-14.45,0.928,1.347882977,0.622240309,2316542.272
NLA17_ND-10002,1,-3.15,-37.54,-12.34,0.924,1.345367986,0.839404567,112877.3609
NLA17_ND-10003,1,-4.84,-50.18,-11.46,0.593,1.162463779,0.716276446,2058603.869
NLA17_ND-10004,1,-5.93,-56.33,-8.89,0.424,0.40019406,0.663102612,575133.0756
NLA17_ND-10005,1,-6.16,-63.08,-13.8,0.505,0.511150494,0.974032941,319143.3021
NLA17_ND-10006,1,-3.54,-41.63,-13.31,0.777,3.032609923,0.172104522,396301.1835
NLA17_ND-10007,1,-8.01,-73.8,-9.72,0.308,0.571409777,0.577273601,5550821.313
NLA17_ND-10008,1,-4.25,-47.07,-13.07,0.71,0.931225574,0.869783737,1618558.693
NLA17_ND-10009,1,-5.38,-52.14,-9.1,0.851,0.914787668,0.951805523,87715.6668
NLA17_ND-10010,1,-6.51,-64.22,-12.14,0.378,0.251605095,0.732216315,63038.1958
NLA17_ND-10011,1,-4.68,-51.14,-13.7,0.613,1.077769565,0.852569896,368976.5924
NLA17_ND-10012,1,-5.85,-59.54,-12.74,0.587,3.801789515,0.901616561,2887737.411
NLA17_ND-10013,1,-6.32,-67.14,-16.58,0.599,0.628268221,0.919490551,78207.3593
NLA17_ND-10014,1,-5,-57.58,-17.58,0.756,4.0596092,0.780888733,1088076.366
NLA17_ND-10015,1,-5.3,-54.73,-12.33,0.492,1.167218523,1.019380871,101164.0191
NLA17_ND-10016,1,-3.72,-48.05,-18.29,0.812,1.940229037,0.922032702,338237.4623
NLA17_ND-10017,1,-7.26,-77.16,-19.08,0.256,0.644080065,1.587579853,60405.5952
NLA17_ND-10018,1,-3.36,-53.07,-26.19,1.072,1.505595255,0.835393374,31898.188
NLA17_ND-10019,1,-4.21,-45.45,-11.77,0.663,1.875706143,0.900199446,288899.6267
NLA17_ND-10020,1,-4.19,-51.8,-18.28,0.722,0.721359271,1.096048747,114080.6317
NLA17_ND-10021,1,-10.79,-92.97,-6.65,0.046,0.175668718,0.338846424,31309764.33
NLA17_ND-10023,1,-5.6,-55.64,-10.84,0.543,0.998147652,0.857326816,220499.7939
NLA17_ND-10024,1,-6.13,-58.76,-9.72,0.399,0.543778323,0.649341869,178034.8272
NLA17_ND-10026,1,-13.47,-98.25,9.51,0.012,0.379512686,1.027613672,111676.9344
NLA17_ND-10029,1,-6.45,-64.97,-13.37,0.549,0.965405377,0.821925564,99736.6094
NLA17_ND-10032,1,-3.22,-37.18,-11.42,0.774,0.883669369,0.715236621,191364.9061
NLA17_ND-10033,1,-2.73,-51.63,-29.79,1.015,0.671230775,0.593265525,4478.2631
NLA17_ND-10034,1,-6.77,-70.86,-16.7,0.464,1.489613645,0.891334934,125751.0355
NLA17_ND-10035,1,-4.95,-49.42,-9.82,0.558,0.8556724,0.902173494,295602.0037
NLA17_ND-10037,1,-7.01,-70.75,-14.67,0.45,0.983270727,0.174393271,14976.2802
NLA17_ND-10042,1,-3.46,-55.35,-27.67,1.022,0.77064387,1.412486412,7534.2558
NLA17_ND-10069,1,-4.97,-63.13,-23.37,0.73,0.381989284,0.893360484,8649.5828
NLA17_ND-10070,1,-3.54,-43.46,-15.14,0.819,1.786510879,0.447597897,13955.7503
NLA17_ND-10073,1,-3.53,-54.37,-26.13,0.976,2.839917665,0.934299525,53950.4533
