SITE_ID,VISIT_NO,d18O,dD,d_excess,E_I,RT_iso,RT_modeled,Lk_vol_m3
NLA17_NV-10016,1,-10.29,-85.69,-3.37,0.203,0.21714505,0.030904828,176724.6445
NLA17_NV-10017,1,-12.68,-105.83,-4.39,0.211,0.54346392,0.036336685,83935341.5
NLA17_NV-10018,1,-10.54,-88.44,-4.12,0.153,0.324395039,0.099349787,127330.0121
NLA17_NV-10036,1,-10.95,-88.12,-0.52,0.132,0.163787446,0.523439107,20604.3109
NLA17_NV-10079,1,-12.17,-101.7,-4.34,0.102,0.067961061,0.097150055,104336.6336
NLA17_NV-10090,1,-14.42,-115.73,-0.37,0.179,1.607170471,0.257901154,38904597.72
NLA17_NV-10124,1,-10.59,-84.5,0.22,0.12,0.331396207,3.600462319,19983.4604
NLA17_NV-10225,1,-16.45,-119.49,12.11,0,NA,0.203325523,140893.1711
NLA17_NV-10239,1,-8.59,-77.65,-8.93,0.073,0.609598295,2.877313362,32664.9888
NLA17_NV-10242,1,1.18,-25.67,-35.11,0.8,5.748191879,0.511384829,861874001.1
NLA17_NV-10243,1,-12.21,-99.9,-2.22,0.09,0.151542852,0.408183182,107097.2905
NLA17_NV-HP001,1,-15.02,-112.61,7.55,0.039,0.171888977,0.367476219,85156.2688
NLA17_NY-10001,1,-6.56,-50.26,2.22,0.134,3.214582205,0.232214506,688356148.3
NLA17_NY-10002,1,-9.09,-64.18,8.54,0.046,0.205312499,0.045566364,38775452.5
NLA17_NY-10003,1,-8,-59.18,4.82,0.089,0.266447582,0.191703129,66738.8948
NLA17_NY-10004,1,-8.36,-60.46,6.42,0.106,0.495066631,0.270508684,372434.8511
NLA17_NY-10005,1,-7.73,-56.71,5.13,0.099,0.495773622,0.261191808,86138.7303
NLA17_NY-10007,1,-4.56,-35.86,0.62,0.236,0.306710085,0.327030594,129249.7801
NLA17_NY-10014,1,-9.06,-63.35,9.13,0.051,0.14826645,0.038971122,256286.5482
NLA17_NY-10016,1,-7.2,-54.5,3.1,0.133,2.134750164,0.266301567,2021852.066
NLA17_NY-10017,1,-7.74,-53.75,8.17,0.125,0.935345327,0.157339005,354035.6537
NLA17_NY-10018,1,-6.43,-40.32,11.12,0,NA,0.052596767,6103.8979
NLA17_NY-10025,1,-7.76,-53.83,8.25,0.079,2.307558687,0.224863852,602133725.5
NLA17_NY-HP001,1,-7.52,-53.6,6.56,0.09,1.275828941,0.273689364,1378162.99
NLA17_NY-HP003,1,-8.5,-62.64,5.36,0.079,0.782411845,0.152809898,7178829.075
NLA17_OH-10001,1,-5.76,-33.94,12.14,0,NA,0.043927737,3369002.466
NLA17_OH-10002,1,-5.55,-35.6,8.8,0.041,0.127322643,0.20119235,1740099.413
NLA17_OH-10003,1,-3.25,-25.96,0.04,0.266,1.62770628,0.289880512,2834495.357
NLA17_OH-10005,1,-4.66,-29.98,7.3,0.104,0.418447964,0.269881773,1378208.85
NLA17_OH-10007,1,-5.12,-35.36,5.6,0.145,2.309732832,0.369166977,1636882.071
NLA17_OH-10008,1,-5.36,-36.65,6.23,0.081,0.190912449,0.096206048,119943.8561
NLA17_OH-10009,1,-3.12,-21.08,3.88,0.291,0.173627526,0.08392019,69841.3707
NLA17_OH-10013,1,-5.36,-32.58,10.3,0,NA,0.051480596,131910.3232
NLA17_OH-10016,1,-7.44,-51.07,8.45,0.055,0.09915523,0.135021558,13616.3333
NLA17_OH-10023,1,-4.62,-28.3,8.66,0.048,0.072615891,0.210398243,171097.3498
NLA17_OH-10024,1,-1.7,-22.73,-9.13,0.523,0.614128321,0.311837199,172895.7976
NLA17_OH-10027,1,-3.09,-29.68,-4.96,0.375,0.4411723,0.349790099,130221.7399
NLA17_OH-10028,1,-5.73,-38.23,7.61,0.076,0.520035156,0.281076212,867424.065
NLA17_OH-10029,1,-3.13,-26.26,-1.22,0.233,0.173013215,0.294742306,6734.1286
NLA17_OH-10031,1,-5.58,-40.72,3.92,0.203,0.096251759,0.057533644,55442.7954
NLA17_OH-10038,1,-6.15,-40.99,8.21,0.059,0.13763926,0.202715175,11048381.2
NLA17_OH-HP001,1,-2.56,-28.39,-7.91,0.482,4.558018754,0.301554779,2956333.816
NLA17_OK-10001,1,0.15,-2.77,-3.97,0.502,1.680806723,0.297770905,16264570.29
NLA17_OK-10002,1,-2.97,-23.09,0.67,0.123,0.487406587,0.026324215,372815501.6
NLA17_OK-10003,1,-0.16,-5.2,-3.92,0.481,0.447988167,0.019014284,5598977.736
NLA17_OK-10004,1,-2.59,-12.42,8.3,0.067,0.325194964,0.221353562,13811751.05
NLA17_OK-10005,1,-0.72,-7.57,-1.81,0.43,0.671157123,0.375263789,209208.302
NLA17_OK-10006,1,-2.76,-14.68,7.4,0.096,0.048508195,0.342726907,131898.7082
NLA17_OK-10007,1,-0.9,-10.1,-2.9,0.407,0.995543102,0.09171686,70613267.51
NLA17_OK-10008,1,-2.26,-11.6,6.48,0.136,0.324479906,0.273324325,2142570.319
NLA17_OK-10009,1,-1.37,-13,-2.04,0.214,0.654594735,0.32736937,4770002.146
NLA17_OK-10010,1,-1.66,-9.31,3.97,0.245,0.297196387,0.349048439,1927160.422
NLA17_OK-10011,1,-3.62,-20.84,8.12,0.049,0.046073489,0.295005767,1233225.731
NLA17_OK-10012,1,0.82,-0.66,-7.22,0.644,1.035570988,0.317437948,101271.9451
NLA17_OK-10013,1,-1.54,-13.8,-1.48,0.29,0.420152674,0.407224766,132831.3762
NLA17_OK-10014,1,1.92,2.7,-12.66,0.621,1.978749733,0.602144356,153282.3941
NLA17_OK-10015,1,-0.64,-6.71,-1.59,0.286,0.133348653,0.270298719,750587.6628
NLA17_OK-10019,1,2.26,9.97,-8.11,0.793,0.273985531,0.295820224,22570.196
NLA17_OK-10021,1,0.28,-3.38,-5.62,0.529,0.791044276,0.406926744,24372.0384
NLA17_OK-10022,1,0.4,-1.47,-4.67,0.56,0.408613954,0.328015054,9431.8222
NLA17_OK-10033,1,-1.94,-14.27,1.25,0.238,0.720291561,0.243989752,7761089.734
NLA17_OK-10035,1,-1.85,-13.52,1.28,0.262,0.816475817,0.14932801,120354506.2
NLA17_OK-10045,1,-3.3,-16.68,9.72,0.011,0.017548724,0.23490496,185348.2183
NLA17_OK-10050,1,-2.52,-21.7,-1.54,0.205,0.191923168,0.390583747,10243.7879
NLA17_OK-10055,1,2.22,5.86,-11.9,1.017,4.007505467,0.509872226,463216.3175
NLA17_OK-10066,1,0.65,2.18,-3.02,0.776,0.573494292,0.35753429,14307.6214
NLA17_OK-10082,1,-1.02,-9.61,-1.45,0.315,0.531952764,0.365315049,345484.3643
NLA17_OK-10083,1,0.72,-4.25,-10.01,0.591,2.246239122,0.926318659,59802.5977
NLA17_OK-10085,1,-3.16,-19.64,5.64,0.057,0.055571789,0.427270091,281753.5229
NLA17_OK-10086,1,-1.57,-9.32,3.24,0.292,0.309001616,0.328234929,14606.7272
NLA17_OK-10087,1,-0.02,-3.19,-3.03,0.354,0.133471024,0.460233148,9963.6466
NLA17_OK-10089,1,-2.21,-12.85,4.83,0.114,0.039450422,0.240305977,74328.7936
NLA17_OK-10095,1,-0.62,-6.01,-1.05,0.404,0.350676898,0.318134941,179442.2476
NLA17_OK-10097,1,0.93,4.46,-2.98,0.916,0.744651055,0.335131338,11851.8593
NLA17_OK-10098,1,2.88,8.36,-14.68,1.232,0.993973391,0.46658867,11592.0871
NLA17_OK-HP001,1,3.25,-3.07,-29.07,0.739,1.179084788,0.441062204,749402.56
NLA17_OK-HP002,1,-2.72,-12.77,8.99,0.036,0.1488746,0.212194601,16543793.97
NLA17_OK-HP004,1,-5.04,-28.58,11.74,0,NA,0.304289192,25393.125
NLA17_OR-10001,1,-0.79,-46.17,-39.85,0.798,0.488131325,0.503925232,376962.982
NLA17_OR-10002,1,-13.97,-100.19,11.57,0,NA,0.05852867,999880.2347
NLA17_OR-10003,1,-14.81,-114.01,4.47,0.09,0.550762633,0.209704091,27874536.53
NLA17_OR-10004,1,-10.41,-81.95,1.33,0.034,0.541029656,0.161049191,26624742.6
NLA17_OR-10005,1,-8.61,-69.31,-0.43,0.182,4.744160081,0.119862294,276283093.5
NLA17_OR-10006,1,-14.42,-109.13,6.23,0.022,0.137263513,0.314820429,31382562.96
NLA17_OR-10007,1,-4.57,-35.21,1.35,0.21,2.35684268,0.041833464,962173.9931
NLA17_OR-10008,1,-4.88,-48.05,-9.01,0.129,0.100689445,0.176875218,202219.7635
NLA17_OR-10009,1,-14.36,-115.35,-0.47,0.181,1.592553281,0.168822947,10912524.8
NLA17_OR-10010,1,-10.43,-82.61,0.83,0.063,0.530760056,0.006122363,214955.0205
NLA17_OR-10011,1,-11.44,-84.84,6.68,0.015,0.086092573,0.056928525,169048.256
NLA17_OR-10012,1,-4.71,-38.77,-1.09,0.226,1.810909296,0.073668418,608137.1339
NLA17_OR-10013,1,-10.04,-74.89,5.43,0.048,0.090923615,0.056717406,28127.5678
NLA17_OR-10014,1,-5.3,-63.86,-21.46,0.337,0.153263236,0.148524275,3896.1929
NLA17_OR-10021,1,-10.47,-78.52,5.24,0.088,0.46569056,0.126720501,29358.2679
NLA17_OR-10024,1,-10.27,-82.74,-0.58,0.091,0.872617926,0.114724854,202105.8776
NLA17_OR-10029,1,-15.11,-111.65,9.23,0.016,0.428108393,0.233574177,1329864.171
NLA17_OR-10037,1,-10.42,-82.28,1.08,0.072,0.400061534,0.136217204,162037.1458
NLA17_OR-10051,1,-11.37,-98.01,-7.05,0.062,0.039003221,0.099635897,39936.2452
NLA17_OR-10052,1,-9.34,-61.46,13.26,0,NA,0.081201123,32398.1
NLA17_OR-10060,1,-14.37,-114.34,0.62,0.146,1.961941259,0.048143582,441131785.8
NLA17_OR-10063,1,-11.73,-86.21,7.63,0.019,0.107183615,0.142742556,118229.7424
NLA17_OR-10076,1,-14.65,-109.73,7.47,0.044,0.566908,0.288736617,390031.486
NLA17_OR-10078,1,-7.89,-80.36,-17.24,0.183,0.6327382,0.10454484,824758.5927
NLA17_OR-10079,1,-12.07,-89.18,7.38,0.011,0.061118028,0.017170031,64583.603
NLA17_OR-10086,1,-7.18,-66.91,-9.47,0.251,0.572236177,0.075407979,290623.2687
NLA17_OR-10088,1,-8.3,-82.73,-16.33,0.262,1.021678345,0.645651276,86878.2222
NLA17_OR-10093,1,-3.43,-35.85,-8.41,0.249,0.213266495,0.111246497,40941.9055
NLA17_OR-10099,1,-11.92,-90.44,4.92,0.123,0.480110018,0.036114503,99408.7114
NLA17_OR-10102,1,-10.28,-82.69,-0.45,0.068,0.203122322,0.054611398,21369.0408
NLA17_OR-10106,1,-9.83,-84.01,-5.37,0.082,0.50466323,0.130460953,605951.7472
NLA17_OR-HP003,1,-8.44,-73.82,-6.3,0.181,4.407388952,0.170388549,5364449.13
NLA17_PA-10001,1,-7.29,-48.51,9.81,0.005,0.083814998,0.107079315,228094260.2
NLA17_PA-10002,1,-5.74,-42.89,3.03,0.182,0.870808081,0.28776669,562334.0312
NLA17_PA-10003,1,-6.89,-43.5,11.62,0,NA,0.099385786,24015088.24
NLA17_PA-10004,1,-8.22,-53.9,11.86,0.038,0.044983549,0.077680746,130382.6221
NLA17_PA-10005,1,-4.48,-31.83,4.01,0.188,0.431388806,0.322970329,1039905.41
NLA17_PA-10006,1,-1.68,-17.58,-4.14,0.408,0.633316775,0.258221547,4748581.385
NLA17_PA-10007,1,-7.48,-52.96,6.88,0.064,0.691366735,0.095547997,22085704.38
NLA17_PA-10008,1,-5.02,-39.59,0.57,0.275,1.673307088,0.310266222,1882109.334
NLA17_PA-10010,1,-4.51,-33.86,2.22,0.172,0.421017819,0.196163892,31844.5169
NLA17_PA-10011,1,-6.44,-45.93,5.59,0.129,0.92285063,0.221423144,1175624.552
NLA17_PA-10013,1,-7.3,-48.59,9.81,0.006,0.008264873,0.098504857,10599.0743
NLA17_PA-10015,1,-6.56,-49.47,3.01,0.123,0.078597035,0.178742496,19499.3656
NLA17_PA-10025,1,-4.72,-36.41,1.35,0.281,0.28354462,0.326736315,24492.4614
NLA17_PA-10030,1,-6.49,-41.61,10.31,0,NA,0.090375062,273617.4385
NLA17_PA-10042,1,-5.39,-36.43,6.69,0.135,0.583346073,0.226082179,719288.8486
NLA17_PA-10047,1,-6.49,-40.88,11.04,0,NA,0.192931249,18927.2517
NLA17_PA-HP001,1,-9.42,-62.24,13.12,0,NA,0.097284066,512011.5533
NLA17_PA-HP002,1,-8.55,-58.48,9.92,0.003,0.253039549,0.240853028,1316898.844
NLA17_RI-10001,1,-5.55,-38.26,6.14,0.123,0.185372988,0.14081227,907463.027
NLA17_RI-10002,1,-6.82,-43.72,10.84,0,NA,0.00990007,288350.8929
NLA17_RI-10005,1,-0.86,-14.43,-7.55,0.644,4.007247549,0.312719272,744307.782
NLA17_RI-10006,1,-4.5,-30.58,5.42,0.184,0.623664431,0.082255318,194386.8503
NLA17_RI-10008,1,-4.04,-27.52,4.8,0.191,0.331278973,0.256356182,163366.3061
NLA17_RI-10010,1,-5.14,-33.94,7.18,0.113,0.12318509,0.156758877,36144.1518
NLA17_RI-10011,1,-4.64,-32.64,4.48,0.168,0.395467679,0.273598644,117782.4903
NLA17_RI-10019,1,-0.65,-15.89,-10.69,0.546,1.73292967,0.250407771,114762.391
NLA17_SC-10002,1,-3.34,-21.32,5.4,0.032,0.06689365,0.099943416,731172707.1
NLA17_SC-10003,1,0.88,-5.94,-12.98,0.381,0.267356551,0.552140331,31379.4972
NLA17_SC-10004,1,-2.38,-15.51,3.53,0.119,0.096965875000000007,0.095169458,55380.3932
NLA17_SC-10010,1,-4.16,-22.42,10.86,0,NA,0.161513205,19766964.99
NLA17_SC-10011,1,-3.22,-18.57,7.19,0.087,0.153211498,0.128010623,1172175.619
NLA17_SC-10012,1,-3.82,-22.58,7.98,0.033,0.047609142,0.169309712,115205.2122
NLA17_SC-10015,1,-0.31,-7.5,-5.02,0.267,0.133064986,0.217742963,6535.5649
NLA17_SC-10016,1,-2.69,-15.39,6.13,0.113,0.151734978,0.066138663,293782.5454
NLA17_SC-10023,1,-2.2,-14.43,3.17,0.139,1.13739363,0.222930828,915022.7116
NLA17_SC-10024,1,-1.06,-10.71,-2.23,0.21,0.329410348,0.2398089,103176.5052
NLA17_SC-10027,1,-2.97,-19.9,3.86,0.075,0.106329301,0.116345601,1213461.939
NLA17_SC-HP002,1,-2.64,-17.12,4,0.157,1.585028198,0.127491344,190295395.6
NLA17_SD-10001,1,-13.82,-113.34,-2.78,0.198,1.603135487,0.192744186,7039277200
NLA17_SD-10002,1,-2.5,-29.48,-9.48,0.795,3.464132333,0.623379764,629315.0063
NLA17_SD-10003,1,-4.3,-40.5,-6.1,0.281,0.441866411,0.498259646,205975.4461
NLA17_SD-10004,1,-4.65,-43,-5.8,0.393,1.406221327,0.51152512,19723451.98
NLA17_SD-10005,1,-3.48,-35.82,-7.98,0.409,0.845664245,0.453848598,5458262.383
NLA17_SD-10006,1,-3.53,-47.71,-19.47,0.429,0.612402818,0.727622217,509104.5926
NLA17_SD-10007,1,-2.04,-29.62,-13.3,0.961,1.041570344,0.722412159,192791.5466
NLA17_SD-10008,1,-2.12,-25.64,-8.68,0.585,0.551231483,0.535141671,127294.8842
NLA17_SD-10009,1,-9.71,-78.2,-0.52,0.232,0.973416667,0.309546064,1105681.941
NLA17_SD-10010,1,-2.73,-34.33,-12.49,0.596,0.240756169,0.782413502,1113189.144
NLA17_SD-10011,1,-2.23,-29.99,-12.15,0.466,0.208461613,0.573617818,65141.8433
NLA17_SD-10012,1,-3.36,-48.5,-21.62,0.548,0.48397904,1.316856945,26938.7388
NLA17_SD-10013,1,-2.81,-36.71,-14.23,0.637,0.250262123,1.11362312,25229.2932
NLA17_SD-10014,1,-4.28,-45.23,-10.99,0.467,0.188652834,0.650359566,6082.0725
NLA17_SD-10015,1,-6.44,-54.96,-3.44,0.108,0.315746894,0.415387811,776425.424
NLA17_SD-10016,1,-3.41,-47.02,-19.74,0.503,0.635631232,0.431620239,459576.8272
NLA17_SD-10017,1,-2.04,-32.11,-15.79,0.79,1.233523509,0.698212932,455751.1599
NLA17_SD-10019,1,-1.56,-36.34,-23.86,0.66,0.736561021,0.836412675,173286.5115
NLA17_SD-10020,1,-8.18,-75.13,-9.69,0.084,0.083619953,0.732570716,31914.5576
NLA17_SD-10022,1,-4.54,-43.69,-7.37,0.173,0.194336589,0.522982634,11274.555
NLA17_SD-10023,1,-1.9,-29.07,-13.87,0.818,3.9890306,0.492150167,411807.4359
NLA17_SD-10025,1,-7.04,-68.33,-12.01,0.194,0.314086645,0.963808145,47712.8904
NLA17_SD-10033,1,-4.92,-61.72,-22.36,0.406,0.137469655,0.383059122,2911.0585
NLA17_SD-10035,1,-2.97,-46.24,-22.48,0.548,1.512378262,1.016804087,242357.8086
NLA17_SD-10037,1,-2.24,-26.55,-8.63,0.473,0.98147850699999994,0.501529663,206958.9685
NLA17_SD-10039,1,-3.11,-31.99,-7.11,0.541,0.542649188,0.516843998,6969266.642
NLA17_SD-10042,1,-3.69,-40.61,-11.09,0.544,0.223909626,0.766944892,20298.8033
NLA17_SD-10052,1,-3.61,-43.91,-15.03,0.374,0.664825262,0.808613911,278508.6792
NLA17_SD-10053,1,-12.35,-103.02,-4.22,0.048,0.394280914,0.075367899,1957994303
NLA17_SD-10057,1,-4.66,-53.38,-16.1,0.295,0.688644882,0.866881639,57424.3199
NLA17_SD-10067,1,-7.58,-70.3,-9.66,0.048,0.082990428,0.555289343,48306.4308
NLA17_SD-10073,1,-0.69,-31.63,-26.11,0.563,0.463518561,0.917385822,37416.2113
NLA17_SD-10081,1,-2.61,-28.94,-8.06,0.75,4.004292874,0.747522777,506982.8788
NLA17_SD-10088,1,-3.27,-37.12,-10.96,0.402,0.144081927,0.583980056,31289.1545
NLA17_SD-10090,1,0.52,-29.05,-33.21,0.801,0.261694743,0.50040523,3414.5317
NLA17_SD-10092,1,-2.15,-37.45,-20.25,0.421,0.599105008,0.676124444,14228.139
NLA17_SD-10093,1,-4.1,-46.16,-13.36,0.391,0.215023159,0.782332618,38603.1153
NLA17_SD-10097,1,-2.06,-29.36,-12.88,0.763,0.556238134,0.635135981,243042.1593
NLA17_SD-10098,1,-0.9,-32.14,-24.94,0.815,0.70350998,0.859611215,24008.3339
NLA17_SD-10104,1,-1.57,-26.82,-14.26,0.947,1.354140284,0.746127218,120490.5139
NLA17_SD-10105,1,-0.25,-14.66,-12.66,0.168,0.060362338,0.364924211,3597.5056
NLA17_SD-10111,1,-0.59,-36.42,-31.7,0.746,0.686267199,1.028485293,73747.3126
NLA17_SD-10112,1,-4.53,-48.29,-12.05,0.321,1.339139884,0.159692559,450039.2402
NLA17_SD-10114,1,-4.96,-62.06,-22.38,0.305,0.599928545,0.711319629,55027.5971
NLA17_SD-HP001,1,-4.36,-51.76,-16.88,0.229,0.23395863,0.439780094,31866.5108
NLA17_TN-10001,1,-5.14,-30.15,10.97,0.003,0.043592633,0.211157363,152166.399
NLA17_TN-10002,1,-5.66,-32.16,13.12,0.011,0.008944721,0.020952594,197540.6256
NLA17_TN-10003,1,1.23,0.33,-9.51,0.584,0.868673021,0.253689008,422998.8445
NLA17_TN-10004,1,-4.81,-28.13,10.35,0.019,0.083011954,0.215752073,953538.2037
NLA17_TN-10005,1,-6.4,-40.18,11.02,0.016,0.009335369,0.023719181,5843.7473
NLA17_TN-10006,1,-5.21,-31.82,9.86,0.004,0.003929044,0.004430469,25503567.57
NLA17_TN-10015,1,-1,-12.2,-4.2,0.301,0.207732216,0.276446287,7883.1817
NLA17_TN-10022,1,-2.26,-15.1,2.98,0.19,0.47876393,0.214556173,234581.3261
NLA17_TN-10023,1,-0.17,-6.75,-5.39,0.371,0.290245223,0.238823634,185243.9158
NLA17_TX-10001,1,-3.83,-24.37,6.27,0.151,0.145685528,0.301754097,139126.4076
NLA17_TX-10002,1,0.28,-5.98,-8.22,0.28,0.872418207,0.441874956,443424.5756
NLA17_TX-10003,1,-1.59,-6.32,6.4,0.101,0.116189953,0.372236912,77242.6008
NLA17_TX-10004,1,-0.66,-11.66,-6.38,0.38,1.935428633,0.146850671,293146597.5
NLA17_TX-10005,1,1.49,2.83,-9.09,0.426,0.418704358,0.433045714,55218.5731
NLA17_TX-10006,1,-3.5,-20.64,7.36,0.028,0.037711552,0.291519385,6301771.108
NLA17_TX-10007,1,-0.3,-0.38,2.02,0.302,0.698759183,0.23425098,166809592.5
NLA17_TX-10008,1,-3.17,-19.73,5.63,0.016,0.008809967,0.314895185,82912.68
NLA17_TX-10009,1,-0.91,-7.28,0,0.156,0.376478668,0.174157356,5429171.65
NLA17_TX-10010,1,-0.34,-6.21,-3.49,0.218,0.710355858,0.210162589,16597561.53
NLA17_TX-10011,1,-0.38,-2.49,0.55,0.287,0.281003774,0.325843844,163666.0197
NLA17_TX-10013,1,-3.55,-18.98,9.42,0.017,0.049010101,0.015915112,629409.8665
NLA17_TX-10014,1,2.1,10.86,-5.94,0.582,0.658279058,0.296561721,333072.5457
NLA17_TX-10015,1,-0.16,-8.61,-7.33,0.099,0.026807692,1.250191791,50784.9247
NLA17_TX-10016,1,1.92,3.99,-11.37,0.511,1.023914312,0.426790048,555878.7405
NLA17_TX-10017,1,-1.99,-11.53,4.39,0.123,0.112594727,0.340143482,33518.4774
NLA17_TX-10019,1,0.01,-0.33,-0.41,0.311,0.488872628,0.501854464,91433.5115
NLA17_TX-10020,1,0.4,-3.21,-6.41,0.396,1.615331956,0.209676374,28719499.75
NLA17_TX-10021,1,0.8,-8.85,-15.25,0.354,1.260714318,0.212503105,171858245.5
NLA17_TX-10022,1,0.3,-0.23,-2.63,0.447,1.073857866,0.253438446,89876586.99
NLA17_TX-10025,1,1.48,4.22,-7.62,0.57,0.340533427,0.444358449,12030.6759
NLA17_TX-10030,1,2.66,11.05,-10.23,0.583,0.259980677,0.306543773,6500.3166
NLA17_TX-10032,1,2.14,4.23,-12.89,0.389,0.185630631,0.255049303,33867.8775
NLA17_TX-10040,1,-0.75,-5.75,0.25,0.21,0.13036183,0.356928979,12904.3708
NLA17_TX-10047,1,3.34,12.25,-14.47,0.776,0.239822722,0.381127836,20081.0514
NLA17_TX-10048,1,-0.58,-8.83,-4.19,0.088,0.073381958,0.221423354,154402.5169
NLA17_TX-10049,1,-0.34,-5.43,-2.71,0.254,0.794291705,0.326131538,1385786.865
NLA17_TX-10070,1,2.73,7.22,-14.62,0.42,0.173286213,1.047526626,69761.8461
NLA17_TX-10072,1,0.85,-0.91,-7.71,0.372,1.485750187,0.368038878,126939.5542
NLA17_TX-10085,1,-1.34,-8.88,1.84,0.213,0.664564274,0.336445159,2375734.073
NLA17_TX-10086,1,3.12,10.51,-14.45,0.393,0.268119254,0.581686456,121632.9675
NLA17_TX-10087,1,-1.55,-12.82,-0.42,0.03,0.071849336,0.253637681,14452.3274
NLA17_TX-10088,1,4.22,18,-15.76,0.987,0.195269814,0.344207719,115019.2967
NLA17_TX-10089,1,4.1,13.87,-18.93,0.874,0.507906868,0.446869017,7459.1082
NLA17_TX-10092,1,-1.39,-13.52,-2.4,0.143,0.262551421,0.341791173,56497.3601
NLA17_TX-10096,1,2.37,4.91,-14.05,0.625,0.888209276,0.45972204,250198.4304
NLA17_TX-10099,1,3.64,13.91,-15.21,0.937,1.362322216,0.303592986,35982.4472
NLA17_TX-10110,1,0.98,0.03,-7.81,0.358,0.320354235,0.347792137,50034.0382
NLA17_TX-10112,1,-3.04,-29.62,-5.3,0.131,1.32683905,1.566725583,224660.2495
NLA17_TX-10121,1,-5.23,-37.38,4.46,0.109,0.068942012,0.294871916,72909.8242
NLA17_TX-10136,1,2.37,9.44,-9.52,0.609,1.25207348,0.520237643,219235.3655
NLA17_TX-10144,1,2.66,7.2,-14.08,0.592,0.391292487,0.449204812,129731.5931
NLA17_TX-HP002,1,-1.41,-10.53,0.75,0.146,0.382784209,0.00470576,9183076.016
NLA17_TX-HP003,1,-0.19,0.67,2.19,0.346,0.710576777,0.278712021,2904982.454
NLA17_TX-HP004,1,4.67,18.1,-19.26,1.136,0.997058501,0.519715612,17673.8102
NLA17_TX-HP005,1,2.8,11.36,-11.04,0.784,0.622020674,0.470384426,13376.2291
NLA17_UT-10001,1,-11.48,-87.04,4.8,0.112,0.441710315,0.398098756,3064124.953
NLA17_UT-10002,1,-16.34,-121.65,9.07,0.014,0.31049941,0.111253994,8297479.009
NLA17_UT-10003,1,-9.65,-85.94,-8.74,0.211,0.539326802,0.262667394,567129.3078
NLA17_UT-10004,1,-11.95,-98.89,-3.29,0.117,1.087193563,0.485196059,107327789.8
NLA17_UT-10005,1,-12.48,-100.85,-1.01,0.11,0.217577986,0.415532426,1476692.654
NLA17_UT-10006,1,-8.2,-84.29,-18.69,0.312,3.552398817,1.945114191,166036.9582
NLA17_UT-10007,1,-12.56,-92.25,8.23,0.033,0.231578506,0.268329207,335979.0584
NLA17_UT-10008,1,-16.07,-120.76,7.8,0.034,0.755350237,0.17995645,35083749.47
NLA17_UT-10009,1,-15.08,-113.19,7.45,0.049,0.208362894,0.287250282,579126.1178
NLA17_UT-10010,1,-10.7,-93.02,-7.42,0.092,0.160383692,0.582294158,490697.7392
NLA17_UT-10013,1,-11.16,-98.3,-9.02,0.165,0.078427011,1.171994102,9966.524
NLA17_UT-10019,1,-14.7,-108.52,9.08,0.027,0.412449663,0.385707541,555182.0632
NLA17_UT-10022,1,-13.74,-109.16,0.76,0.19,1.586763321,0.328221138,139910.9731
NLA17_UT-10028,1,-11.44,-93.65,-2.13,0.105,0.031072723,0.453638736,28127.7738
NLA17_UT-10056,1,-15.08,-112.57,8.07,0.055,1.114620446,0.425282209,771814.0092
NLA17_UT-10058,1,-14.8,-110.71,7.69,0.045,0.074181825,0.225247953,11810.3149
NLA17_UT-10064,1,-6.5,-74.77,-22.77,0.612,4.416999585,0.368945961,135385.6117
NLA17_UT-10066,1,-14.23,-107.73,6.11,0.036,0.419506491,0.61273465,224336.6941
NLA17_UT-10082,1,-6.2,-65.59,-15.99,0.53,15.96461859,0.480304688,134637799.7
NLA17_UT-10094,1,-12.28,-92.42,5.82,0.06,0.084372473,0.017079209,46664.8144
NLA17_UT-10100,1,-9.59,-87.64,-10.92,0.4,3.683653673,0.40245306,440835.0924
NLA17_UT-10120,1,-11.66,-99.37,-6.09,0.296,0.564456317,0.221800608,12641.312
NLA17_UT-10140,1,-14.16,-113.34,-0.06,0.108,0.481627475,0.432551434,192218.7747
NLA17_UT-HP002,1,-16.72,-123.73,10.03,0,NA,0.253795794,9882403.176
NLA17_VA-10001,1,-4.92,-29.04,10.32,0,NA,0.135456388,158867.1171
NLA17_VA-10002,1,-3.3,-21.71,4.69,0.155,0.126504491,0.189474341,134600.7525
NLA17_VA-10003,1,-3.46,-25.03,2.65,0.193,0.659233084,0.443452924,271055.6634
NLA17_VA-10004,1,-3.65,-23.89,5.31,0.141,0.287186335,0.24578087,581848.5031
NLA17_VA-10005,1,-4.63,-28.66,8.38,0.088,0.154636728,0.219555598,502551.5063
NLA17_VA-10006,1,-3.66,-23.32,5.96,0.134,0.086010227,0.089070859,189760.5811
NLA17_VA-10007,1,-4.6,-29.4,7.4,0.12,0.238519104,0.400133616,17513.6761
NLA17_VA-10008,1,-5.47,-31.46,12.3,0,NA,0.126462372,3822619.664
NLA17_VA-10009,1,-2.85,-17.26,5.54,0.143,0.08314694,0.121996176,20755.4284
NLA17_VA-10010,1,-4.46,-28.44,7.24,0.114,0.458791802,0.298697867,1294167.781
NLA17_VA-10012,1,-3.85,-24.02,6.78,0.123,0.1811384,0.224978808,65004.0889
NLA17_VA-10013,1,0.26,-7.73,-9.81,0.49,0.258324505,0.3479695,39243.9255
