SITE_ID,VISIT_NO,MAGNESIUM_mgL,DOC_mgL,SILICA_mgL,CHLORIDE_mgL,COND_USCM,NITRATE_N_mgL,PH,CHLA_ugL,NTL_mgL,TURB_NTL,AMMONIA_N_mgL,POTASSIUM_mgL,SULFATE_mgL,SODIUM_mgL,COLOR_ALPHA,ANC_ueqL,CALCIUM_mgL,PTL_ugL,NITRITE_N_mgL,ALUMINUM_mgL,NITRATE_NITRITE_N_mgL,TKN_mgL,BATCH_ID
NLA17_TX-10020,1,9.263,3.83,3.419,49.867,531.6,0,8.57,6.09,0.368,3.19,0.009,8.816,35.768,54.005,2,2786.88,33.31,18.5575,0,NA,NA,NA,NA
NLA17_TX-10022,1,8.078,5.88,0.305,45.112,409.9,9e-4,8.58,12.94,0.593,4.78,0.012,11.486,7.156,29.439,2,2288.87,29.466,99.7275,0,NA,NA,NA,NA
NLA17_MT-10014,1,7.485,1.36,5.048,0.167,174,0,8.35,0.8,0.138,0.44,0.006,0.924,3.677,0.752,0,1735.36,21.888,6.36875,0,NA,NA,NA,NA
NLA17_MO-10015,1,5.334,6.9,2.056,7.596,278.4,0,8.08,35.2,1.12,6.43,0.021,6.011,16.382,8.424,25,2161.76,34.473,88.808,0,NA,NA,NA,NA
NLA17_MN-10005,1,4.866,7.77,11.74,2.843,117.2,0,8.14,2.11,0.449,1.22,0.009,0.371,1.283,2.544,54,1003.39,14.127,20.365,0,NA,NA,NA,NA
NLA17_MN-10189,1,5.58,10.65,4.372,0.756,142.7,0,8.41,3.07,0.551,0.86,0.008,0.825,0.66,2.313,25,1427.77,19.118,12.475,0,NA,NA,NA,NA
NLA17_AR-HP001,1,1.114,2.12,6.242,1.852,37.9,0,7.53,7.08,0.276,2.22,0.006,1.088,3.073,2.593,0,236.67,2.567,21.03125,0,NA,NA,NA,NA
NLA17_SD-10001,2,24.031,3.55,3.92,10.613,816.4,0,8.61,3.29,0.289,2.15,0.009,4.919,228.61,84.151,3,3437.02,51.441,16.42,0,NA,NA,NA,NA
NLA17_ND-10018,1,213.789,25.02,12.081,13.26,1809.2,0,8.74,10.56,2.316,6.41,0.026,29.951,615.173,35.284,40,10359.08,32.228,63.0075,0,NA,NA,NA,NA
NLA17_CO-10003,1,2.585,0.99,6.667,0.273,198.1,0.0119,7.94,2.56,0.13,1.12,0.009,0.351,53.92,1.774,0,724.44,29.769,7.81,0.001,NA,NA,NA,NA
NLA17_CO-10008,1,9.82,8.22,4.035,2.185,321.5,0,8.37,8.64,0.628,3.88,0.014,1.714,72.153,13.998,11,1519.83,34.079,31.5025,0,NA,NA,NA,NA
NLA17_CO-10005,1,15.143,4.7,0.824,44.458,519.1,0,8.48,3.59,0.338,2.65,0.009,2.752,67.716,35.132,0,2127.05,36.829,14.26875,0,NA,NA,NA,NA
NLA17_MI-10008,1,0.458,5.43,0.204,0.553,17,1e-4,6.8,3.95,0.35,0.62,0.007,0.612,2.402,0.692,18,63.47,1.428,7.3275,0,NA,NA,NA,NA
NLA17_MI-10028,1,6.992,6.88,11.067,2.887,187.1,0,8.48,1.43,0.441,1,0.044,0.582,1.371,2.279,14,1752.62,23.393,15.09625,0,NA,NA,NA,NA
NLA17_IN-10136,1,8.398,4.19,3.48,3.532,281.4,0,8.43,10.08,0.431,14.75,0.014,1.919,4.279,4.785,3,2685.52,37.827,40.2075,0,NA,NA,NA,NA
NLA17_RI-10002,1,0.866,5.98,5.985,30.84,145.7,0.1146,7.06,15.98,0.625,1.94,0.03,1.59,3.838,19.052,50,142.3,4.038,47.71125,0.002,NA,NA,NA,NA
NLA17_SD-10081,1,265.264,21.43,6.817,57.507,2717,0,8.68,8.4,2.578,5.87,0.14,56.429,1170.319,191.192,25,7986,70.101,187.49375,0,NA,NA,NA,NA
NLA17_CO-10019,1,0.258,2.79,1.51,0.045,16.5,3e-4,6.89,1.74,0.234,0.79,0.007,0.134,0.821,0.475,12,112.7,2.141,10.7075,0,NA,NA,NA,NA
NLA17_OH-10005,1,6.94,3.27,1.974,10.233,213.4,0.0143,7.98,5.71,0.519,12.06,0.016,2.298,21.074,6.795,14,1232.04,21.126,30.965,0.001,NA,NA,NA,NA
NLA17_MA-10001,1,1.43,2.54,3.078,54.181,219.5,0,6.98,6.3,0.22,2.8,0.008,1.083,3.244,35.296,32,117.13,2.639,11.26125,0,NA,NA,NA,NA
NLA17_CO-10055,1,2.54,6.72,1.504,0.514,57.4,0,7.58,5.4,0.559,2.12,0.015,0.815,0.29,1.372,43,481.77,6.284,32.34125,0,NA,NA,NA,NA
NLA17_ME-HP003,1,0.302,4.77,1.72,6.936,37.9,2e-4,6.69,3.21,0.246,0.65,0.005,0.204,1.068,5.257,30,60.91,1.396,6.545,0,NA,NA,NA,NA
NLA17_MN-10161,1,31.906,9.27,27.35,10.089,474.1,0.015,8.49,58.4,2.339,21.33,0.373,4.461,11.178,5.053,15,4458.22,44.955,139.51125,0,NA,NA,NA,NA
NLA17_SD-10035,1,56.229,26.9,7.508,9.657,4056.4,0,9.24,128.59,4.7,39.71,0.037,20.862,1320.786,927.03,45,16714.7,23.527,444.01125,0,NA,NA,NA,NA
NLA17_KY-10002,1,3.075,2.61,2.304,2.367,76.3,0,7.6,2.16,0.225,0.92,0.006,1.225,11.298,2.72,5,347.76,6.051,9.94125,0,NA,NA,NA,NA
