SITE_ID,VISIT_NO,MAGNESIUM_mgL,DOC_mgL,SILICA_mgL,CHLORIDE_mgL,COND_USCM,NITRATE_N_mgL,PH,CHLA_ugL,NTL_mgL,TURB_NTL,AMMONIA_N_mgL,POTASSIUM_mgL,SULFATE_mgL,SODIUM_mgL,COLOR_ALPHA,ANC_ueqL,CALCIUM_mgL,PTL_ugL,NITRITE_N_mgL,ALUMINUM_mgL,NITRATE_NITRITE_N_mgL,TKN_mgL,BATCH_ID
NLA17_SD-10019,1,153.304,31.44,2.704,53.268,4648.3,0,9.55,1.49,2.881,4.33,0.064,26.302,2430.925,809.221,20,3450.4,193.616,366.39,0,NA,NA,NA,NA
NLA17_WI-10005,1,28.4,9.07,10.7,17.3,438,NA,8.8,29.8,0.575,4.94,NA,1.73,8.23,7.72,30,4260,44.7,32.4,NA,NA,NA,NA,NA
NLA17_OH-10023,1,16.801,5.88,6.193,15.493,385.1,0.142,8.51,80.32,1.76,8.98,0.04,4.455,9.71,7.892,32,3231.71,39.081,157.94125,0.001,NA,NA,NA,NA
NLA17_MI-10012,1,1.822,7,0.608,7.723,83.1,4e-4,7.63,11.17,0.589,1.89,0.011,0.317,0.127,4.924,12,507,7.435,13.29,0,NA,NA,NA,NA
NLA17_MN-10033,1,2.22,7.54,0.659,0.149,53.5,0,7.43,3.62,0.613,1.09,0.011,1.007,0.008,0.493,22,493.5,6.089,18.9875,0,NA,NA,NA,NA
NLA17_CO-10022,1,11.264,5.22,2.623,60.551,528.9,0,8.21,3.89,0.456,3.17,0.014,4.088,64.586,41.096,5,1607.15,36.274,9.825,0,NA,NA,NA,NA
NLA17_IA-10034,1,23.562,3.57,9.8,23.579,370.6,2.8831,8.92,70.66,3.838,4.58,0.019,3.048,13.263,6.412,18,2412.81,25.176,78.3775,0.017,NA,NA,NA,NA
NLA17_MA-10018,1,0.969,5.14,5.747,4.607,38.1,3e-4,6.53,10.76,0.388,1.63,0.009,0.304,2.344,3.728,40,120,1.534,23.545,0,NA,NA,NA,NA
NLA17_OR-10021,1,0.11,0.86,0.631,0.18,2.8,0,6.41,0.35,0.128,0.46,0.003,0.057,0.089,0.188,10,28.05,0.148,6.405,0,NA,NA,NA,NA
NLA17_OH-10029,1,15.14,5.42,7.901,7.065,284,0,8.38,25.76,0.934,4.47,0.023,2.349,2.541,4.009,20,2511.89,31.056,70.7675,0,NA,NA,NA,NA
NLA17_MD-10026,1,5.392,2.4,1.864,30.166,196,0.38,7.94,3.7,0.729,1.7,0.014,1.537,3.592,11.941,10,669.16,12.268,9.41125,0.007,NA,NA,NA,NA
NLA17_TX-10001,2,3.39,6.36,11.906,16.299,317.2,0,8.11,86.43,1.7,87.52,0.022,5.039,28.296,20.152,12,2513.18,31.999,251.5825,0,NA,NA,NA,NA
NLA17_MN-10049,1,18.978,10.75,13.401,1.312,377.5,0,7.99,8.53,0.938,2.76,0.013,1.163,0.143,1.428,20,3863.18,43.366,35.94125,0,NA,NA,NA,NA
NLA17_MA-10005,1,0.885,2.52,0.454,36.06,160.9,0,7.28,2.35,0.306,0.67,0.006,0.881,4.006,23.553,10,160.5,2.828,8.23375,0,NA,NA,NA,NA
NLA17_CO-10004,1,217.742,13.73,4.357,56.549,3020.2,0,8.53,144.5,3.394,24.58,0.024,12.54,1482.924,241.007,20,4569.3,151.074,377.02,0,NA,NA,NA,NA
NLA17_SC-10010,1,0.399,1.44,7.62,0.724,16.8,2e-4,6.94,1.94,0.141,0.97,0.004,0.633,1.404,1.352,10,92.29,0.853,10.28375,0,NA,NA,NA,NA
NLA17_WY-10021,1,0.296,1.3,1.057,0.236,18,0,7.11,0.58,0.14,0.55,0.009,0.363,1.189,0.643,0,138.08,2.296,0.89875,0,NA,NA,NA,NA
NLA17_MO-10003,1,5.379,5.14,4.298,2.469,118.8,0,8.12,31.2,0.786,4.69,0.016,2.399,2.836,2.479,15,976.28,11.884,42.39875,0,NA,NA,NA,NA
NLA17_SD-10052,1,304.852,23.92,3.99,171.736,6152.1,31.3069,8.7,29.77,36.375,5.94,0.069,27.416,2846.588,1055.786,35,9842.18,100.989,40.45375,0.715,NA,NA,NA,NA
NLA17_ND-10034,1,25.59,17.3,21.885,1.251,366,0.0043,9.03,79.71,2.731,7.15,0.206,6.594,40.022,3.895,40,3101.77,34.148,263.7525,0,NA,NA,NA,NA
NLA17_ND-10073,1,217.983,28.95,33.486,11.862,1828.6,0,8.69,54.86,3.169,21.91,0.035,26.368,553.425,44.291,40,11447.2,47.182,122.43375,0,NA,NA,NA,NA
NLA17_VA-HP008,1,2.984,3.34,4.35,10.303,233.9,0,8.13,5.65,0.38,1.64,0.013,2.54,9.793,7.155,0,1685.18,31.569,20.80625,0,NA,NA,NA,NA
NLA17_IA-10006,1,30.763,6.9,14.439,25.225,412,0,8.49,27.92,1.225,4.63,0.039,1.026,4.611,7.864,25,3392.03,29.067,69.7925,0,NA,NA,NA,NA
NLA17_OR-10099,1,0.202,1.5,5.497,0.166,6.5,0,6.88,0.5,0.183,0.38,0.008,0.105,0.022,0.595,10,65.86,0.615,6.36125,0,NA,NA,NA,NA
NLA17_MN-10001,1,4.278,9.81,9.851,2.491,127.4,0,8.03,4.28,0.493,1.38,0.026,1.112,0.612,4.075,30,1100.87,17.288,16.798,0,NA,NA,NA,NA
NLA17_MN-10179,1,16.545,6.64,14.807,4.213,193.7,0,8.95,14.94,0.73,1.38,0.029,0.714,0.013,1.761,7,1953.04,15.344,22.2025,0,NA,NA,NA,NA
NLA17_NE-10054,1,13.233,5.26,11.971,15.017,420,0,8.66,30.72,1.36,8.67,0.027,8.544,80.483,35.062,20,1967.59,28.466,38.06,0,NA,NA,NA,NA
NLA17_RI-10001,1,0.807,7.15,3.985,29.803,132.4,4e-4,6.91,10.59,0.469,3.03,0.013,1.119,1.953,17.864,70,121.47,3.383,15.32125,0,NA,NA,NA,NA
NLA17_TX-10008,2,2.186,11.02,12.395,4.433,86.8,0,7.51,208.82,2.944,47.59,0.061,6.343,2.321,3.821,30,585.93,6.707,397.59125,0,NA,NA,NA,NA
NLA17_MI-10035,1,0.211,21.38,0.296,0.05,17.3,0.0026,4.7,6.88,0.835,1.53,0.02,0.403,0.127,0.277,160,-15.14,0.696,16.695,0,NA,NA,NA,NA
NLA17_MA-10003,1,0.612,5.08,0.113,4.747,33.6,1e-4,6.63,9.68,0.504,1.54,0.034,0.446,2.273,3.431,35,56.22,1.994,23.155,0,NA,NA,NA,NA
NLA17_OR-10004,1,4.396,3.49,15.328,4.558,134.1,0,8.19,2.34,0.313,2.2,0.015,0.839,3.028,6.785,6,1094.8,13.606,23.6375,0,NA,NA,NA,NA
NLA17_OR-10010,1,2.58,2.71,12.582,0.344,68.4,1e-4,7.88,5.31,0.35,2.65,0.017,0.346,0.19,2.74,10,523.61,7.231,49.85625,0,NA,NA,NA,NA
NLA17_OH-10008,1,18.873,5.18,0.525,13.986,275,0.1663,8.8,49.8,1.834,13.91,0.049,4.482,9.786,4.84,15,2253.8,21.576,71.33875,0.011,NA,NA,NA,NA
NLA17_OR-10002,2,0.555,0.86,18.143,0.204,22.2,0,7.44,0.67,0.206,0.63,0.015,0.687,0.329,2.232,5,178.12,1.279,44.48125,0,NA,NA,NA,NA
NLA17_MO-10004,1,12.619,4.79,0.996,5.114,242.4,0,8.62,12.93,0.69,2.07,0.02,3.971,4.385,3.353,12,2258.31,26.452,24.685,0,NA,NA,NA,NA
NLA17_TX-10099,1,1.866,5.22,1.036,1.123,54.6,9e-4,7.56,6.1,0.705,2.88,0.046,3.171,1.072,3.723,15,412.54,2.938,21.695,0.001,NA,NA,NA,NA
NLA17_OH-10009,1,14.398,10.65,6.721,11.391,345.4,0.2158,8.5,64.16,2.29,36.59,0.141,6.85,21.068,8.61,53,2618.99,40.203,237.0775,0.003,NA,NA,NA,NA
NLA17_LA-10075,1,0.771,6.07,2.389,1.676,37,4e-4,7.26,36.24,0.904,6.82,0.023,1.628,0.454,2.844,13,240.37,2.621,66.84,0,NA,NA,NA,NA
NLA17_WY-HP001,1,7.612,5.07,10.582,2.489,213.4,0,8.24,1.71,0.319,3.02,0.017,1.435,36.042,12.296,9,1262.54,20.678,18.03625,0,NA,NA,NA,NA
NLA17_RI-10019,1,0.864,4.07,0.302,118.3,433.2,0,7.13,3.26,0.446,0.47,0.017,1.907,3.31,71.902,19,140.08,4.792,17.995,0,NA,NA,NA,NA
NLA17_SC-10012,1,0.483,2.1,2.488,1.966,13.7,0.1327,6.65,4.14,0.518,1.87,0.013,0.344,0.012,1.24,9,50.96,0.286,9.395,0.002,NA,NA,NA,NA
NLA17_PA-10008,1,1.278,3.57,0.536,9.758,96.6,0,7.74,1.93,0.334,0.61,0.016,1.235,5.876,4.964,18,452.23,11.31,6.41125,0,NA,NA,NA,NA
NLA17_AR-10003,1,1.096,7.04,4.332,6.75,45.1,2e-4,6.94,9.9,0.464,3.58,0.02,1.195,1.509,3.923,52,125.55,2.32,31.11,0,NA,NA,NA,NA
NLA17_IA-10038,1,19.543,5.51,11.331,14.091,247.9,0.1041,9.31,177.12,2.248,15.4,0.051,1.434,7.06,2.811,10,2027.55,18.255,181.39375,0.022,NA,NA,NA,NA
NLA17_IN-10082,1,21.035,7.31,5.079,56.551,638.4,0.0035,8.59,3.59,0.765,3.23,0.02,2.472,19.372,34.99,25,4543.68,66.969,13.6825,0,NA,NA,NA,NA
NLA17_UT-10058,1,9.667,2.88,2.908,3.105,225.7,0,8.34,3.88,0.4,2.81,0.015,0.063,4.997,2.131,11,2110.93,29.866,33.55875,0,NA,NA,NA,NA
NLA17_MN-10042,1,26.423,6.99,7.421,11.759,389.4,0,8.22,67.2,1.371,7.87,0.046,1.334,2.596,4.777,27,3445.74,31.033,116.5775,0,NA,NA,NA,NA
NLA17_CA-10001,2,7.662,3.7,4.051,10.012,171,0.083,7.82,7.28,0.476,7.19,0.014,2.263,5.844,9.182,18,1139.71,11.424,34.95875,0.007,NA,NA,NA,NA
NLA17_ND-10033,1,377.471,47.79,32.131,62.009,3356.2,0,8.7,144,5.6,4.56,0.081,56.562,1779.052,176.208,68,5322.54,107.751,298.71625,0,NA,NA,NA,NA
NLA17_MN-10027,1,12.242,6.67,5.829,4.937,290.8,0,8.34,5.84,0.589,1.67,0.018,1.275,0.804,4.772,10,2732.81,35.583,18.3225,0,NA,NA,NA,NA
NLA17_NJ-10010,1,2.817,5.88,4.215,25.987,185.7,0,7.73,110,1.558,19.35,0.021,3.83,9.518,17.561,20,587.3,10.201,146.3525,0,NA,NA,NA,NA
NLA17_MN-10019,1,0.68,9.06,0.291,0.163,18.7,0,6.68,7.26,0.763,1.76,0.018,0.762,0.004,0.368,25,138.85,1.95,22.12875,0,NA,NA,NA,NA
NLA17_OK-10082,1,3.12,6.66,3.973,6.695,158,0,7.93,11.82,0.586,5.66,0.016,2.871,5.314,5.471,20,1065.58,19.249,29.76125,0,NA,NA,NA,NA
NLA17_OK-10022,1,3.548,7.72,13.804,2.503,121.4,0,7.72,32.8,0.953,12.26,0.033,3.313,8.946,7.857,22,826.78,8.825,85.8,0,NA,NA,NA,NA
NLA17_TX-10047,1,2.45,15.26,8.75,14.826,145.8,0,7.55,94.08,2.465,55.33,0.042,7.031,2.192,13.378,50,756,7.173,464.23875,0,NA,NA,NA,NA
NLA17_PA-10011,1,1.09,7.71,2.876,7.265,73,0,7.08,9.44,0.919,2.02,0.151,1.158,3.62,4.971,30,326.02,6.601,43.61,0,NA,NA,NA,NA
NLA17_RI-10005,1,1.349,3.05,0.535,33.763,143.9,0,6.95,2.44,0.348,0.52,0.018,1.683,3.159,19.659,0,99.75,2.814,8.73625,0,NA,NA,NA,NA
NLA17_WA-10057,1,32.603,7.62,36.465,11.75,536.5,0,9.04,135.5,2.468,15.35,0.018,11.917,47.951,36.998,39,4357.07,23.01,174.555,0,NA,NA,NA,NA
NLA17_NH-10891,1,0.239,2.88,0.963,2.338,19.9,0,6.7,2.26,0.208,0.81,0.014,0.32,1.443,1.832,0,47.83,1.152,5.74125,0,NA,NA,NA,NA
NLA17_GA-10026,1,2.106,3.34,9.302,5.722,83.6,0.1041,7.61,58.6,1.063,7.86,0.124,2.154,1.132,5.158,25,511.67,6.42,81.7425,0.008,NA,NA,NA,NA
NLA17_MN-10011,1,23.888,4.89,15.199,8.156,311.9,0,8.71,3.17,0.585,1.11,0.011,2.259,13.339,2.29,20,2358.15,25.896,16.12875,0,NA,NA,NA,NA
NLA17_MO-10005,1,6.152,3.38,4.401,2.308,160.2,0,7.87,4.79,0.379,7.72,0.026,2.598,23.611,5.398,0,841.02,13.34,21.22,0,NA,NA,NA,NA
NLA17_MN-10001,2,4.204,9.49,9.968,2.536,127,0,8.13,6.26,0.483,2.79,0.011,1.064,0.683,3.83,38,1181.96,16.182,17.9,0,NA,NA,NA,NA
NLA17_OR-10093,1,4.427,7.13,1.761,3.775,94.1,0,8.84,81.44,2.18,26.1,0.028,0.538,0.627,5.055,46,794.07,6.77,183.195,0,NA,NA,NA,NA
NLA17_TN-10015,1,2.886,3.03,8.426,2.566,180.2,0,8.29,1.31,0.28,3.07,0.013,0.908,1.022,3.067,10,1673.89,28.793,15.22375,0,NA,NA,NA,NA
NLA17_MN-10193,1,2.371,16.84,3.553,0.496,55.1,0,7.41,40.96,0.944,9.61,0.019,1.125,0.017,1.317,175,493.37,6.609,138.71,0,NA,NA,NA,NA
NLA17_AZ-10006,2,11.149,10.65,25.867,12.898,297.8,0.0087,9.12,38.08,1.196,3,0.043,1.674,5.956,13.933,35,2623.68,33.957,467.9925,0,NA,NA,NA,NA
NLA17_TX-10005,1,2.119,7.98,10.218,13.305,109.2,0,7.71,22.88,0.45,5.72,0.016,3.903,2.228,7.607,39,523.14,8.34,26.145,0,NA,NA,NA,NA
NLA17_SD-10105,1,124.521,18.88,19.239,17.589,2056.3,0,9.06,316.8,6.413,87.83,0.039,20.149,988.719,167.137,60,3441.77,133.507,1231.155,0,NA,NA,NA,NA
NLA17_SD-10090,1,24.059,42.1,7.783,122.258,2776.8,0,9.56,6.78,4.019,1.3,0.085,46.182,736.545,594.866,81,9201.06,17.698,340.24875,0,NA,NA,NA,NA
NLA17_ME-10029,1,0.538,3.85,1.463,0.449,29.8,0,7.37,2.12,0.2,1.07,0.007,0.357,2.214,0.95,25,203.01,4.044,7.635,0,NA,NA,NA,NA
NLA17_PA-10030,1,0.933,16.74,3.858,4.086,33.7,0,6.54,30.72,0.619,2.2,0.018,0.154,1.182,3.142,210,105.13,2.816,50.275,0,NA,NA,NA,NA
NLA17_NE-10064,1,21.265,4.12,26.449,37.141,863.4,0,8.52,25.87,0.728,3.57,0.01,15.889,203.46,89.577,8,3465.5,61.032,83.7175,0,NA,NA,NA,NA
NLA17_MN-10004,1,25.694,5.95,11.764,16.222,364.3,0,8.64,2.98,0.638,1,0.011,3.721,6.802,8.619,25,3153.58,25.152,19.5825,0,NA,NA,NA,NA
NLA17_MO-10006,2,8.014,4.59,6.783,2.053,140,0,8.46,13.46,0.595,3.18,0.01,1.92,0.613,1.396,33,1321.92,13.938,30.495,0,NA,NA,NA,NA
NLA17_MT-10011,1,4.512,0.8,2.608,0.104,117.6,0.0206,8.05,0.61,0.104,0.18,0.006,0.167,2.531,0.606,4,1168.27,16.248,1.0775,0.004,NA,NA,NA,NA
NLA17_GA-10039,1,1.952,4.04,15.919,1.775,57.1,0,7.5,10.75,0.243,3.82,0.007,1.169,1.675,3.438,29,432.25,4.446,23.56,0,NA,NA,NA,NA
NLA17_MS-10004,1,3.277,8.86,9.489,2.311,100.7,0.0222,7.6,60.5,1.596,12.6,0.312,4.744,0.115,3.351,23,880.09,9.34,151.1075,0.002,NA,NA,NA,NA
NLA17_AR-10021,1,3.064,7.45,17.488,4.978,103,0,7.72,96.4,1.834,16.42,0.014,4.307,1.353,4.506,40,802.17,9.408,246.03125,0,NA,NA,NA,NA
NLA17_RI-10010,2,2.372,7.05,4.586,63.445,272.7,0,6.6,16.32,0.56,1.87,0.037,2.15,5.816,38.321,68,290.53,6.967,28.77125,0,NA,NA,NA,NA
NLA17_NC-10002,1,0.445,1.01,5.371,1.03,16.8,0,7.33,2.01,0.084,0.9,0.006,0.378,0.605,1.099,4,135.39,1.109,6.62375,0,NA,NA,NA,NA
NLA17_PA-10006,2,9.208,2.97,1.747,55.534,351.2,0,8.37,13.28,0.649,7.6,0.011,3.838,20.662,28.473,0,1081.82,20.838,24.49375,0,NA,NA,NA,NA
NLA17_MT-10022,1,155.071,27.12,5.998,15,1231.3,0,9.31,2.5,1.749,0.71,0.022,12.494,3.449,75.434,5,17169.39,7.477,13.76875,0,NA,NA,NA,NA
NLA17_ND-10081,1,73.06,17.74,2.836,23.257,4237.9,0,8.79,12.74,1.138,3.87,0.018,11.332,1668.047,949.511,37,12176.04,33.171,49.96375,0.535,NA,NA,NA,NA
NLA17_TN-10006,1,5.632,1.87,6.151,8.698,190.9,0.1609,7.92,2.98,0.476,2.97,0.078,1.715,11.134,7.779,13,1334.88,19.746,41.27,0.013,NA,NA,NA,NA
NLA17_CO-10058,1,8.814,3.39,0.414,47.634,455.3,0.1712,8.64,23.85,0.711,2.08,0.014,6.028,56.086,41.625,12,1640.83,30.622,25.71,0.029,NA,NA,NA,NA
NLA17_MT-10023,1,97.508,54.33,11.121,12.272,1045.4,0.0257,10.01,4.94,4.725,9.36,0.092,64.241,102.924,66.427,105,9415.18,14.843,115.8925,0,NA,NA,NA,NA
NLA17_WY-10001,1,29.693,1.97,1.878,0.98,439.8,0.0026,7.74,2.07,0.193,0.95,0.013,0.558,112.416,7.481,13,2043.57,38.346,15.88,0,NA,NA,NA,NA
NLA17_NY-10003,1,0.258,2.99,1.63,0.232,12,0,6.36,2.37,0.244,0.58,0.008,0.101,2.662,0.628,8,28.68,0.955,6.71875,0,NA,NA,NA,NA
NLA17_AL-10002,1,4.696,2.73,6.403,5.396,160.7,0,8.25,31.04,0.534,5.52,0.01,1.819,6.995,4.74,7,1245.12,18.743,54.03875,0,NA,NA,NA,NA
NLA17_CT-10004,1,3.18,3.67,2.471,25.099,148.3,0,7.56,4.88,0.279,0.91,0.008,1.752,7.483,13.802,17,407.9,8.881,10.87125,0,NA,NA,NA,NA
NLA17_TX-10009,1,3.764,5.33,3.554,8.372,100.3,0,7.59,18,0.484,2.28,0.008,2.352,8.693,7.299,12,464.81,5.023,20.39,0,NA,NA,NA,NA
NLA17_DE-10001,2,3.518,4.36,10.555,14.771,164.1,0,8.24,100.8,1.421,17.96,0.012,3.375,5.84,7.453,33,915.56,17.368,112.125,0,NA,NA,NA,NA
NLA17_ID-HP002,1,0.133,1.1,6.175,0.114,20.3,0,7.08,0.8,0.046,0.31,0.006,0.204,0.745,1.301,15,126.59,2.488,4.4775,0,NA,NA,NA,NA
NLA17_MA-10004,2,0.593,6.07,2.736,10.31,54,0,6.99,5.58,0.318,1.16,0.009,0.348,2.211,7.047,59,96.27,2.213,16.25125,0,NA,NA,NA,NA
NLA17_WI-HP004,1,0.262,4.83,0.122,0.185,8.1,0,6.51,6.2,0.353,0.72,0.008,0.392,0.48,0.162,48,40.81,0.895,10.88625,0,NA,NA,NA,NA
NLA17_IN-10141,1,16.164,7.81,0.14,70.96,537.1,0.0033,8.31,4.84,0.629,1.61,0.014,3.337,15.528,45.974,21,2717.93,35.261,17.405,0,NA,NA,NA,NA
NLA17_ME-10004,1,1.135,8.12,3.016,0.199,27,0,7.22,8.53,0.688,4.01,0.013,0.229,1.376,1.114,44,199.19,3.061,28.675,0,NA,NA,NA,NA
NLA17_MN-10048,1,12.844,7.36,10.123,1.132,283.4,0,8.28,1.63,0.431,0.57,0.011,2.231,0.957,8.944,20,2924.38,31.013,12.09125,0,NA,NA,NA,NA
NLA17_MN-10194,1,8.362,8.12,5.701,2.634,224.7,0,8.15,1.86,0.464,0.52,0.017,1.046,0.066,3.194,31,2222.25,29.615,11.6025,0,NA,NA,NA,NA
NLA17_OR-10051,1,8.856,5.34,36.679,1.335,249.5,0,8.52,34.84,1.5,217,0.013,2.773,0.738,18.077,34,2654.98,22.982,299.3525,0,NA,NA,NA,NA
NLA17_WY-10038,1,31.429,13.77,19.792,16.436,699.9,0,8.57,20.27,1.189,11.77,0.019,4.375,124.6,49.308,41,4454.8,58.268,64.96625,0,NA,NA,NA,NA
NLA17_WI-10008,2,3.38,7.14,0.742,1.76,77.4,NA,7.55,5.13,0.73,6.6,NA,NA,0.468,1.25,15,734,9.24,53.1,NA,57.1,NA,NA,NA
NLA17_AL-10001,2,13.188,3.21,5.86,5.959,311.2,0.1576,8.65,37.92,0.781,2.87,0.014,2.746,70.192,17.822,26,1343.75,24.568,44.2825,0.008,NA,NA,NA,NA
NLA17_AL-10018,1,2.558,3.23,6.689,2.359,146.9,0.0027,8.04,9.2,0.321,1.9,0.013,1.338,1.191,1.678,31,1334.15,23.705,14.78625,0,NA,NA,NA,NA
NLA17_GA-HP002,1,0.435,1.38,6.7,1.11,18.7,0,7.11,14.98,0.2,2.82,0.006,0.761,0.74,1.81,20,119.65,0.976,19.165,0,NA,NA,NA,NA
NLA17_TX-10016,1,15.247,6.38,12.832,33.606,358.5,0,8.48,13.26,0.77,3.35,0.014,4.127,20.116,23.915,18,2052.31,23.339,32.4225,0,NA,NA,NA,NA
NLA17_MA-10019,1,1.844,3.13,0.672,26.767,128.6,0,7.14,4.14,0.335,2.13,0.007,1.061,5.922,19.186,34,155.47,2.729,8.4975,0,NA,NA,NA,NA
NLA17_MA-10001,2,1.461,2.56,4.174,56.248,221.7,0,6.97,4.36,0.179,1.35,0.008,1.039,3.472,37.661,31,123.7,2.734,13.83875,0,NA,NA,NA,NA
NLA17_WY-10032,1,0.83,0.27,0.757,0.079,17.8,0.1463,6.93,0.27,0.194,0.63,0.026,0.477,1.299,0.261,12,122.67,1.346,2.14125,0.002,NA,NA,NA,NA
NLA17_WI-HP003,1,0.282,6.43,0.139,0.102,6.9,0,6.31,4.62,0.491,0.85,0.008,0.266,0.03,0.181,35,52.85,0.801,19.35875,0,NA,NA,NA,NA
NLA17_LA-10303,1,1.338,7.51,2.885,2.716,43.4,0,7.17,51.2,0.689,3.78,0.01,1.626,0.024,2.995,38,308.34,3.347,66.3125,0,NA,NA,NA,NA
NLA17_MN-10014,1,1.916,14.05,1.664,0.408,38.3,0,7.22,9.84,0.7,1.71,0.019,0.656,1.161,1.303,80,290.49,3.91,24.5275,0,NA,NA,NA,NA
NLA17_MN-10008,1,1.268,8.43,0.159,0.141,30.5,0.0023,7.16,9.1,0.76,3.15,0.023,0.368,2.083,1.134,32,205.77,3.069,20.50375,0,NA,NA,NA,NA
NLA17_WY-10007,1,2.838,1.76,13.686,4.36,139.6,0.0037,7.98,0.95,0.114,0.55,0.01,1.727,8.893,9.294,10,1004.32,14.186,12.15625,0,NA,NA,NA,NA
NLA17_NE-10007,2,19.445,5.4,6.226,12.281,630.7,0.0036,8.36,18.23,0.588,5.22,0.015,4.839,144.686,51.861,5,3136.28,52.341,36.7675,0,NA,NA,NA,NA
NLA17_MI-10073,1,0.352,10.75,0.623,0.047,10.5,0,5.96,36.28,0.829,4.61,0.011,0.137,0.023,0.142,40,56.98,1.247,45.95,0,NA,NA,NA,NA
NLA17_MN-10159,2,1.016,6.17,5.886,0.18,27,0.0022,7.01,5.73,0.398,1.41,0.016,0.266,2.409,0.928,20,154.73,2.781,15.9425,0,NA,NA,NA,NA
NLA17_ND-10042,1,580.853,62.28,19.847,88.078,5615.4,0,8.92,3.58,5.463,1.44,0.142,68.258,3328.425,502.981,70,7553.64,254.217,588.05875,0,NA,NA,NA,NA
NLA17_TX-10003,1,2.314,4.7,4.747,2.344,179.6,0.0022,8.07,2.82,0.32,1.07,0.009,1.892,6.824,2.659,15,1541.38,28.729,16.3,0,NA,NA,NA,NA
NLA17_AL-10004,2,0.478,4.54,1.046,2.307,18.2,0,6.48,28.24,0.666,3.24,0.009,0.142,0.929,1.375,15,47.17,1.213,55.44625,0,NA,NA,NA,NA
NLA17_SD-10111,1,109.534,27.32,6.727,68.751,4159,0.0676,9.04,4.44,2.528,0.99,0.115,14.343,2034.701,760.162,32,3423.48,159.623,509.00375,0.002,NA,NA,NA,NA
NLA17_IN-10006,1,5.771,4.38,2.082,5.179,191.4,0.0026,8.16,3.4,0.471,1.08,0.025,2.438,5.513,6.992,25,1637.15,23.224,18.48625,0,NA,NA,NA,NA
NLA17_LA-10155,1,1.511,4.74,2.549,2.829,50.8,0.0022,7.4,25.6,0.705,2.67,0.012,3.238,0.999,3.006,10,324.69,3.247,46.7775,0,NA,NA,NA,NA
NLA17_MN-10018,1,1.06,16.48,4.406,0.133,62.1,0,7.46,6.37,0.768,1.8,0.009,0.364,1.37,0.959,70,529.22,11.487,12.32875,0,NA,NA,NA,NA
NLA17_MO-10036,1,7.026,11.62,7.325,14.958,289.4,0.0022,8.06,80.8,2.148,90.77,0.046,7.187,11.355,15.639,20,2103.11,27.988,347.68625,0,NA,NA,NA,NA
NLA17_CA-10020,1,4.07,2.53,27.795,0.563,102.1,0.0033,8.98,8.72,0.411,3.18,0.016,1.293,1.395,6.11,10,978.01,9.453,48.8175,0,NA,NA,NA,NA
NLA17_CA-10089,1,7.662,12.57,21.902,1.214,169.6,0.0023,8.52,8.85,1.668,2.03,0.326,5.368,0.081,8.23,30,1670.18,16,190.6225,0,NA,NA,NA,NA
NLA17_WY-10008,1,22.148,7.23,9.392,10.692,462.3,0.0126,8.43,2.49,0.496,2.8,0.018,2.545,23.058,11.234,12,3944.34,52.531,18.6475,0,NA,NA,NA,NA
NLA17_WI-HP001,1,2.261,17.14,6.146,0.669,50.9,0,7.41,15.52,0.856,3.22,0.02,0.354,0.884,1.557,200,424.36,7.052,33.35375,0,NA,NA,NA,NA
NLA17_ND-10112,1,396,NA,NA,53.7,4120,NA,8.53,160,3.87,NA,0.08,62.9,1970,549,NA,11889.29,113,430,NA,239,NA,3.84,NA
NLA17_CA-10062,1,4.628,3.32,23.55,2.164,91.6,0,7.41,3.18,0.509,3.8,0.014,2.775,0.025,4.029,10,846.5,6.618,57.68875,0,NA,NA,NA,NA
NLA17_NE-10001,2,24.982,5.63,16.068,32.741,653.7,0.0679,8.51,23.84,1.145,17.07,0.032,21.784,84.464,43.582,20,3944.06,48.945,263.8275,0,NA,NA,NA,NA
NLA17_NH-10530,1,0.116,4.03,1.688,0.557,11.8,0,5.39,2.58,0.28,1.1,0.007,0.057,2.149,1.069,30,8.86,0.454,13.395,0,NA,NA,NA,NA
NLA17_AL-10020,1,2.052,2.32,0.808,5.32,44.4,0.3535,7.1,13.01,0.853,4.74,0.033,1.527,0.08,1.799,10,198.52,2.402,17.145,0.006,NA,NA,NA,NA
NLA17_CT-10002,1,0.304,1.78,0.852,0.519,13,0,5.91,1.7,0.175,0.52,0.007,0.098,3.264,0.882,20,13.94,0.83,7.96375,0,NA,NA,NA,NA
NLA17_WI-10085,1,8.21,2.99,19.2,2.83,217,0.0258,8.22,17.9,0.308,2.52,NA,0.678,4.51,3.13,15,2060,28.4,38,NA,10.5,NA,NA,NA
NLA17_WY-10018,1,10.917,6.72,22.212,0.848,470.4,0.0048,8.95,27.68,0.885,2.07,0.041,1.223,38.113,71.675,33,4269.93,24.842,126.85,0,NA,NA,NA,NA
NLA17_WY-10012,1,0.157,1.21,2.352,0.056,9.1,0,6.79,1.01,0.109,0.34,0.005,0.234,0.473,0.509,12,69.87,1.117,7.40875,0,NA,NA,NA,NA
NLA17_WY-10005,1,10.145,3.05,6.591,1.765,286,0.0092,8.5,5.73,0.33,1.77,0.01,0.933,10.399,3.533,13,2754.93,43.542,73.4225,0,NA,NA,NA,NA
